MASHONALAND EAST PROVINCE :2018 HARMONISED PRESIDENTIAL ELECTION RESULTS: 30 JULY 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISTRICT,CONSTITUENCY ,LOCAL AUTHORITY,WARD NO.,POLLING STATIONS,FACILITY,"Busha Joseph Makamba
FreeZim Congress","Chamisa Nelson
Movement for Democratic Change Alliance","Chikanga Everisto Washington
Rebuild Zimbabwe","Dzapasi Melbah
#1980 Freedom Movement Zimbabwe","Gava Mapfumo Peter
United Democratic Front","Hlabangana Kwanele
Republican Party of Zimbabwe","Kasiyamhuru Blessing
Zimbabwe Partnership for Prosperity","Khupe Thokozani
Movement for Democratic Change","Madhuku Lovemore
National Constitutional Assembly","Mangoma Elton Steers
Coalition of Democrats","Manyika Noah Ngoni
Build Zimbabwe Alliance","Mapfumo-Chiguvare Tonderai Johannes Timothy
People's Progressive Party Zimbabwe","Mariyacha Violet
United Democracy Movement","Mhambi-Hove Divine
national Alliance of Patriotic and Democratic Republicans","Mnangagwa Emmerson Dambudzo
Zimbabwe African National Union Patriotic Front","Moyo Nkosana Donald
Alliance for the People's Agenda","Mteki Bryn Taurai
Independent","Mugadza Willard Tawonezvi
Bethel Christian Party","Mujuru Joice Teurai Ropa
People's Rainbow Coalition","Munyanduri Tendai Peter
New Patriotic Front","Mutinhiri Ambrose
National Patriotic Front","Shumba Kuzozvirava Daniel
United Democratic Alliance","Wilson Harry Peter
Democratic Opposition Party",Total Votes Rejected ,Ballot Paper Unaccounted for,Total Votes Cast,Total Valid Votes Cast
Chikomba,Chikomba Central ,Chikomba RDC,20,Zhenje Primary School,1800CHIK2003,1,93,0,0,0,0,0,3,0,0,0,0,0,0,126,4,0,0,0,0,0,0,1,3,0,231,228
Chikomba,Chikomba Central ,Chikomba RDC,20,Zinatsa Primary School,1800CHIK2004,4,259,3,0,1,0,2,5,0,0,0,1,0,2,326,4,0,0,2,0,0,0,2,6,0,617,611
,,,,4 Polling Stations,WARD TOTAL,16,735,6,0,2,2,2,16,0,1,1,1,0,5,966,12,0,2,7,2,1,1,3,29,0,"1,810","1,781"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chikomba,Chikomba Central ,Chikomba RDC,21,Ranga Primary School,1800CHIK2101,2,51,1,0,0,2,1,1,0,0,0,1,0,0,111,0,0,0,2,0,0,0,1,2,0,175,173
Chikomba,Chikomba Central ,Chikomba RDC,21,St Pauls Kuimba Primary School,1800CHIK2102,3,190,2,1,0,1,2,2,0,1,0,0,0,2,184,3,0,1,4,0,0,0,0,4,0,400,396
Chikomba,Chikomba Central ,Chikomba RDC,21,Unyetu Primary School,1800CHIK2103,3,213,3,0,0,4,1,1,0,0,0,0,0,3,192,3,0,1,6,1,1,0,1,6,0,439,433
,,,,3 Polling Stations,WARD TOTAL,8,454,6,1,0,7,4,4,0,1,0,1,0,5,487,6,0,2,12,1,1,0,2,12,0,"1,014","1,002"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chikomba,Chikomba Central ,Chikomba RDC,22,Domboremavara Primary School,1800CHIK2201,10,268,4,0,1,2,1,6,0,1,0,1,0,0,252,8,1,3,5,2,0,0,0,10,0,575,565
Chikomba,Chikomba Central ,Chikomba RDC,22,Kwenda Secondary School,1800CHIK2202,8,185,6,0,1,1,1,5,2,0,0,0,0,4,303,7,1,0,4,2,0,2,1,9,0,542,533
,,,,2 Polling Stations,WARD TOTAL,18,453,10,0,2,3,2,11,2,1,0,1,0,4,555,15,2,3,9,4,0,2,1,19,0,"1,117","1,098"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chikomba,Chikomba Central ,Chikomba RDC,23,Chikwezvero Primary School,1800CHIK2301,6,140,1,1,0,0,0,1,0,0,0,0,0,1,188,1,0,0,1,0,0,1,0,4,0,345,341
Chikomba,Chikomba Central ,Chikomba RDC,23,Chokodza Primary School,1800CHIK2302,1,125,1,0,2,0,2,4,1,0,0,0,0,0,154,1,0,0,0,0,0,1,0,2,0,294,292
Chikomba,Chikomba Central ,Chikomba RDC,23,Manhanzva Primary School,1800CHIK2303,1,147,3,0,0,0,1,5,1,0,0,0,0,0,250,2,0,1,1,0,0,0,0,6,0,418,412
Chikomba,Chikomba Central ,Chikomba RDC,23,Rutanhira Primary School,1800CHIK2304,0,98,0,0,0,0,0,1,0,0,0,0,0,0,203,0,1,1,0,0,0,0,0,1,0,305,304
Chikomba,Chikomba Central ,Chikomba RDC,23,Zvamatobwe Primary School,1800CHIK2305,1,149,2,0,0,0,0,3,0,0,0,0,0,0,271,4,2,0,3,0,0,0,0,9,0,444,435
,,,,5 Polling Stations,WARD TOTAL,9,659,7,1,2,0,3,14,2,0,0,0,0,1,1066,8,3,2,5,0,0,2,0,22,0,"1,806","1,784"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
