MIDLANDS PROVINCE 2018 HARMONISED ELECTIONS PRESIDENTIAL ELECTION RESULTS: 30 JULY 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISTRICT,CONSTITUENCY ,LOCAL AUTHORITY,WARD NO.,POLLING STATION NAME,Polling Station Code,"Busha Joseph Makamba
FreeZim Congress","Chamisa Nelson
Movement for Democratic Change Alliance","Chikanga Everisto Washington
Rebuild Zimbabwe","Dzapasi Melbah
#1980 Freedom Movement Zimbabwe","Gava Mapfumo Peter
United Democratic Front","Hlabangana Kwanele
Republican Party of Zimbabwe","Kasiyamhuru Blessing
Zimbabwe Partnership for Prosperity","Khupe Thokozani
Movement for Democratic Change","Madhuku Lovemore
National Constitutional Assembly","Mangoma Elton Steers
Coalition of Democrats","Manyika Noah Ngoni
Build Zimbabwe Alliance","Mapfumo-Chiguvare Tonderai Johannes Timothy
People's Progressive party Zimbabwe","Mariyacha Violet
United Democracy Movement","Mhambi-Hove Divine
National Alliance of Patriotic and Democratic Republicans","Mnangagwa Emmerson Dambudzo
Zimbabwe African National Union Patriotic Front","Moyo Nkosana Donald
Alliance for the People's Agenda","Mteki Bryn Taurai
Independent","Mugadza Willard Tawonezvi
Bethel Christian Party","Mujuru Joice Teurai Ropa
People's Rainbow Coalition","Munyanduri Tendai Peter
New Patriotic Front","Mutinhiri Ambrose
National Patriotic Front","Shumba Kuzozvirava Daniel
United Democratic Alliance","Wilson Harry Peter
Democratic Opposition Party",Total Votes Rejected ,Ballot Paper Unaccounted for,Total Votes Cast,Total Valid Votes Cast
Gweru,Vungu,Vungu RDC,6,Maboleni B Secondary School,2900VUN0602,2,227,1,0,1,1,2,6,1,0,1,0,1,0,137,2,0,1,0,1,0,1,0,8,0,393,385
Gweru,Vungu,Vungu RDC,6,Mankunzane Community Hall,2900VUN0603,4,234,7,0,1,3,1,7,0,0,0,0,0,2,207,5,0,0,2,0,1,1,1,7,0,483,476
Gweru,Vungu,Vungu RDC,6,Mvumileni Business Centre Tent,2900VUN0604,2,191,0,0,1,0,2,7,1,0,0,0,1,0,94,2,0,0,0,0,0,0,0,2,0,303,301
Gweru,Vungu,Vungu RDC,6,Sikombingo Primary School,2900VUN0605,3,211,0,1,0,1,1,11,1,0,0,0,3,3,271,3,1,2,1,1,3,0,1,19,0,537,518
,,,,5 Polling Stations,Ward Total,13,1090,9,1,5,6,6,47,3,2,2,0,5,6,913,13,1,5,4,2,5,3,3,44,0,2188,2144
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gweru,Vungu,Vungu RDC,7,Madinga Business Centre Tent,2900VUN0701,3,224,2,0,0,1,1,4,0,0,1,0,0,0,240,3,0,1,1,0,3,0,0,8,0,492,484
Gweru,Vungu,Vungu RDC,7,Shagari Primary School,2900VUN0702,1,263,7,0,1,2,1,3,2,1,0,0,0,0,224,0,0,1,0,1,1,0,2,10,0,520,510
Gweru,Vungu,Vungu RDC,7,St Faith Mnyamani Primary School,2900VUN0703 A,3,278,3,0,0,1,1,10,0,0,1,0,1,0,220,2,0,2,0,1,0,0,4,5,0,532,527
Gweru,Vungu,Vungu RDC,7,St Faith Mnyamani Primary School,2900VUN0703 B,1,311,2,0,0,2,0,5,0,0,0,0,0,2,195,0,0,5,2,0,4,3,2,12,0,546,534
,,,,4 Polling Stations,Ward Total,8,1076,14,0,1,6,3,22,2,1,2,0,1,2,879,5,0,9,3,2,8,3,8,35,0,2090,2055
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gweru,Vungu,Vungu RDC,8,Insukamini Primary School,2900VUN0801,2,375,3,1,1,0,1,6,1,0,1,1,0,0,181,1,0,2,4,3,2,3,1,11,0,600,589
Gweru,Vungu,Vungu RDC,8,Makepesi Clinic Tent,2900VUN0802 A,3,267,1,0,0,2,0,13,1,0,5,0,0,0,168,3,0,1,4,0,0,1,1,11,0,481,470
Gweru,Vungu,Vungu RDC,8,Makepesi Clinic Tent,2900VUN0802 B,5,284,3,1,2,1,2,6,0,1,2,0,1,1,154,1,0,0,2,2,1,1,1,13,0,484,471
Gweru,Vungu,Vungu RDC,8,Mkoba A Primary School,2900VUN0803,1,147,2,0,2,1,0,4,1,0,0,1,0,2,92,3,0,0,0,0,1,0,0,6,,263,257
Gweru,Vungu,Vungu RDC,8,Mkoba B Primary School,2900VUN0804 A,4,270,1,0,1,0,0,9,0,1,0,1,0,0,102,6,0,1,3,1,1,0,1,4,0,406,402
Gweru,Vungu,Vungu RDC,8,Mkoba B Primary School,2900VUN0804 B,3,279,0,0,0,3,1,8,0,0,0,0,0,0,102,2,1,1,3,0,1,0,0,4,0,408,404
Gweru,Vungu,Vungu RDC,8,Nhlangano Secondary School,2900VUN0805,3,165,1,0,0,2,0,5,0,0,0,0,1,0,157,2,0,1,0,1,0,0,0,4,0,342,338
,,,,7 Polling Stations,Ward Total,21,1787,11,2,6,9,4,51,3,2,8,3,2,3,956,18,1,6,16,7,6,5,4,53,0,2984,2931
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gweru,Vungu,Vungu RDC,15,Daiysfield Primary School,2900VUN1501,0,73,2,0,2,0,2,5,0,0,1,0,0,0,227,1,0,1,1,1,0,0,1,7,0,324,317
Gweru,Vungu,Vungu RDC,15,Dawsons Farm Tent,2900VUN1502,1,30,2,0,0,0,1,2,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,2,0,113,111
Gweru,Vungu,Vungu RDC,15,Fairview Secondary School,2900VUN1503,0,42,0,0,1,1,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,2,0,178,176
Gweru,Vungu,Vungu RDC,15,Four Streams Tent,2900VUN1504,0,14,0,0,0,1,0,0,0,0,0,0,0,0,92,0,0,0,0,1,0,0,0,1,0,109,108
Gweru,Vungu,Vungu RDC,15,Somabula Primary School,2900VUN1505,4,154,0,2,0,0,2,2,0,1,0,0,0,0,292,5,0,0,1,0,0,0,0,4,0,467,463
Gweru,Vungu,Vungu RDC,15,Tapiwa Primary School,2900VUN1506,3,183,2,0,1,3,1,5,1,1,0,0,0,0,245,3,0,1,2,0,1,1,1,1,0,455,454
Gweru,Vungu,Vungu RDC,15,Woodlands Primary School,2900VUN1507,0,21,2,0,0,0,0,0,0,0,0,0,0,1,64,0,0,0,0,0,0,0,0,3,0,91,88
,,,,7 Polling Stations,Ward Total,8,517,8,2,4,5,6,14,1,2,1,0,0,1,1127,9,0,2,4,2,1,1,2,20,0,1737,1717
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gweru,Vungu,Vungu RDC,17,Brumsguard Primary School,2900VUN1701,2,69,3,0,1,1,0,1,0,0,2,0,0,1,118,1,0,0,0,0,0,0,0,2,0,201,199
Gweru,Vungu,Vungu RDC,17,Drummond Farm House Tent,2900VUN1702,0,6,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,1,0,0,0,0,1,0,104,103
Gweru,Vungu,Vungu RDC,17,Fairview (St Davis ) Primary School,2900VUN1703,0,59,0,0,0,0,0,3,0,0,0,0,0,0,124,1,0,0,0,0,0,0,0,1,0,188,187
Gweru,Vungu,Vungu RDC,17,Lukuluba Primary School,2900VUN1704,2,29,0,0,0,0,0,0,0,0,0,0,0,0,118,1,0,0,1,0,0,0,0,2,0,153,151
Gweru,Vungu,Vungu RDC,17,Neemur(Mapongobwe) Primary School,2900VUN1705,3,32,2,1,0,0,0,4,0,0,0,1,0,1,258,1,0,0,0,0,0,0,2,3,0,308,305
Gweru,Vungu,Vungu RDC,17,Sunrise Business Centre Tent,2900VUN1706,2,102,0,0,0,0,0,1,1,0,1,0,0,0,424,0,0,0,0,2,0,0,0,4,0,537,533
,,,,6 Polling Stations,Ward Total,9,297,5,1,1,1,0,9,1,0,3,1,0,2,1138,4,0,0,2,2,0,0,2,13,0,1491,1478
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gweru,Vungu,Vungu RDC,19,Bunina Primary School,2900VUN1901,1,72,3,0,0,1,0,1,1,0,0,0,0,1,282,0,1,0,1,1,1,0,0,2,0,368,366
Gweru,Vungu,Vungu RDC,19,Julena Primary School,2900VUN1902,1,19,0,0,0,0,0,0,0,0,0,0,0,0,244,0,0,0,0,0,3,0,2,7,0,276,269
Gweru,Vungu,Vungu RDC,19,Mazangwe Primary School,2900VUN1903,5,100,4,3,0,3,1,7,1,0,0,0,0,2,632,0,0,1,1,2,7,0,1,12,0,782,770
Gweru,Vungu,Vungu RDC,19,Vungu Secondary School,2900VUN1904,2,79,1,0,0,0,0,3,0,0,1,0,0,0,44,3,0,0,1,1,1,0,1,8,0,145,137
Gweru,Vungu,Vungu RDC,19,Vungu Sheimer Primary School,2900VUN1905,0,19,0,0,0,0,0,1,0,0,0,0,0,1,60,0,0,0,0,0,0,1,0,0,0,82,82
Gweru,Vungu,Vungu RDC,19,Zama Zama Primary School,2900VUN1906,0,28,1,0,1,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,40,39
,,,,6  Polling Stations,Ward Total,9,317,9,3,1,4,1,13,2,0,1,0,0,4,1270,3,1,1,3,4,12,1,4,30,0,1693,1663
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VUNGU Constituency Total,,,,,,129,8639,119,23,27,68,35,270,25,19,29,10,16,41,10774,91,10,45,49,42,57,32,46,404,0,21000,20596
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gweru District Total,,,,,,292,67421,227,38,42,143,179,639,40,38,130,18,34,71,40351,282,45,119,304,79,109,71,75,1287,1,112034,110747
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kwekwe,Kwekwe Central,Kwekwe Municipality,1,Chiedza Primary School,5801KWE0101,1,674,0,1,0,0,1,3,1,1,0,0,0,1,112,1,1,0,1,0,0,0,0,12,0,810,798
Kwekwe,Kwekwe Central,Kwekwe Municipality,1,"Daisy & Donald Play Centre, Mbizo 1 Ext",5801KWE0102 A,1,454,0,0,0,0,5,3,0,0,1,0,0,0,132,1,1,1,0,0,0,0,0,6,0,605,599
Kwekwe,Kwekwe Central,Kwekwe Municipality,1,"Daisy & Donald Play Centre, Mbizo 1 Ext",5801KWE0102 B,0,473,1,0,0,0,0,0,0,0,0,0,0,0,128,2,0,0,0,0,0,0,0,2,0,606,604
Kwekwe,Kwekwe Central,Kwekwe Municipality,1,"Daisy & Donald Play Centre, Mbizo 1 Ext",5801KWE0102 C,3,463,1,0,0,0,0,1,0,0,1,0,0,0,108,0,0,1,0,0,0,0,0,7,0,585,578
Kwekwe,Kwekwe Central,Kwekwe Municipality,1,Mbizo Methodist Church Section 2 Tent,5801KWE0103 A,3,443,0,1,0,0,0,1,0,0,0,0,0,0,121,0,0,1,0,0,1,1,1,7,0,580,573
Kwekwe,Kwekwe Central,Kwekwe Municipality,1,Mbizo Methodist Church Section 2 Tent,5801KWE0103 B,5,464,1,0,0,0,1,1,1,0,0,0,0,0,94,0,1,0,0,0,0,0,0,6,0,574,568
Kwekwe,Kwekwe Central,Kwekwe Municipality,1,Mbizo Methodist Church Section 2 Tent,5801KWE0103 C,1,455,2,0,0,0,0,1,0,0,0,0,0,0,110,1,0,3,0,0,0,1,0,6,0,580,574
Kwekwe,Kwekwe Central,Kwekwe Municipality,1,Mbizo Youth Centre,5801KWE0104,1,512,0,0,0,0,0,2,1,0,0,0,0,0,130,0,0,1,0,0,1,1,0,3,0,652,649
,,,,8 Polling Stations,Ward Total,15,3938,5,2,0,0,7,12,3,1,2,0,0,1,935,5,3,7,1,0,2,3,1,49,0,4992,4943
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kwekwe,Kwekwe Central,Kwekwe Municipality,6,Globe & Phoenix Hall,5801KWE0601 A,1,423,2,0,0,1,2,4,0,0,0,0,0,0,217,1,1,2,0,0,0,1,0,6,0,661,655
Kwekwe,Kwekwe Central,Kwekwe Municipality,6,Globe & Phoenix Hall,5801KWE0601 B,1,418,1,0,0,0,0,8,0,0,0,0,0,0,213,2,0,0,1,1,0,0,1,10,0,656,646
Kwekwe,Kwekwe Central,Kwekwe Municipality,6,Kenville High School,5801KWE0602,2,357,1,0,0,0,0,6,0,0,0,0,0,0,106,1,0,2,0,0,0,0,0,2,0,477,475
Kwekwe,Kwekwe Central,Kwekwe Municipality,6,Venice Mine Tent,5801KWE0603 A,2,263,2,0,1,2,1,1,0,0,1,0,0,1,322,4,0,1,0,2,0,0,1,2,0,606,604
Kwekwe,Kwekwe Central,Kwekwe Municipality,6,Venice Mine Tent,5801KWE0603 B,1,285,4,0,0,2,1,3,0,0,1,0,0,0,314,4,0,1,0,1,2,0,2,7,0,628,621
,,,,5 Polling Stations,Ward Total,7,1746,10,0,1,5,4,22,0,0,2,0,0,1,1172,12,1,6,1,4,2,1,4,27,0,3028,3001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kwekwe,Kwekwe Central,Kwekwe Municipality,7,Kushinga A Primary School,5801KWE0701,0,389,2,0,0,3,2,4,1,0,0,0,0,0,98,1,0,0,0,0,1,0,0,4,0,505,501
Kwekwe,Kwekwe Central,Kwekwe Municipality,7,Kushinga B Primary School,5801KWE0702 A,2,325,1,0,0,0,2,4,0,0,0,0,0,0,99,0,0,0,1,2,1,0,1,6,0,444,438
Kwekwe,Kwekwe Central,Kwekwe Municipality,7,Kushinga B Primary School,5801KWE0702 B,0,322,1,0,0,0,0,1,0,0,0,0,0,0,94,0,0,2,0,0,1,0,0,4,0,425,421
Kwekwe,Kwekwe Central,Kwekwe Municipality,7,W Section Play Centre,5801KWE0703,1,323,0,1,0,0,0,0,0,0,0,0,0,0,79,0,1,0,1,0,0,1,0,3,0,410,407
,,,,4 Polling Stations,Ward Total,3,1359,4,1,0,3,4,9,1,0,0,0,0,0,370,1,1,2,2,2,3,1,1,17,0,1784,1767
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kwekwe,Kwekwe Central,Kwekwe Municipality,8,Amaveni Hall,5801KWE0801 A,2,426,0,0,1,0,1,1,0,1,0,0,0,0,162,1,3,0,0,0,1,0,2,3,0,604,601
Kwekwe,Kwekwe Central,Kwekwe Municipality,8,Amaveni Hall,5801KWE0801 B,3,469,2,0,0,1,1,2,1,0,0,0,0,0,128,1,0,0,1,1,1,0,0,4,0,615,611
Kwekwe,Kwekwe Central,Kwekwe Municipality,8,Amaveni Hall,5801KWE0801 C,3,438,1,0,0,0,3,6,1,0,0,0,0,0,162,1,0,0,1,4,1,0,1,4,0,626,622
Kwekwe,Kwekwe Central,Kwekwe Municipality,8,Zaoga Church (Opposite Chikomo) Tent,5801KWE0802,0,373,0,0,0,0,0,1,0,0,1,0,0,0,100,0,0,1,0,2,0,0,0,2,0,480,478
,,,,4 Polling Stations,Ward Total,8,1706,3,0,1,1,5,10,2,1,1,0,0,0,552,3,3,1,2,7,3,0,3,13,0,2325,2312
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kwekwe,Kwekwe Central,Kwekwe Municipality,9,Amaveni A Primary School,5801KWE0901,2,575,1,0,0,1,1,6,0,0,0,0,2,0,144,2,0,0,0,2,0,1,0,4,0,741,737
Kwekwe,Kwekwe Central,Kwekwe Municipality,9,Amaveni B Primary School,5801KWE0902,0,418,2,0,1,0,2,2,0,0,0,0,0,0,105,2,1,1,0,1,0,0,0,6,0,541,535
Kwekwe,Kwekwe Central,Kwekwe Municipality,9,St Martins Primary School,5801KWE0903,1,537,2,0,0,0,1,11,0,0,0,0,0,0,127,2,0,0,0,1,0,0,0,9,0,691,682
,,,,3 Polling Stations,Ward Total,3,1530,5,0,1,1,4,19,0,0,0,0,2,0,376,6,1,1,0,4,0,1,0,19,0,1973,1954
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kwekwe,Kwekwe Central,Kwekwe Municipality,10,Fitchlea Primary School,5801KWE1001 A,0,428,1,0,0,0,0,5,0,0,0,0,0,0,132,5,1,1,1,0,0,1,0,9,0,584,575
Kwekwe,Kwekwe Central,Kwekwe Municipality,10,Fitchlea Primary School,5801KWE1001 B,0,455,0,0,0,0,0,1,0,0,2,0,0,0,107,1,0,1,0,0,0,0,0,15,0,582,567
Kwekwe,Kwekwe Central,Kwekwe Municipality,10,Fitchlea Primary School,5801KWE1001 C,2,444,3,0,0,0,0,3,0,0,1,0,0,0,132,0,1,0,0,0,0,0,0,6,0,592,586
Kwekwe,Kwekwe Central,Kwekwe Municipality,10,Gaika Primary School,5801KWE1002,0,376,1,1,1,0,0,5,0,1,0,0,1,0,84,0,0,0,0,4,0,0,0,15,0,489,474
Kwekwe,Kwekwe Central,Kwekwe Municipality,10,Islamic Mission,5801KWE1003,0,369,0,1,0,1,1,4,0,0,0,0,0,0,117,2,1,1,0,1,1,0,0,6,0,505,499
,,,,5 Polling Stations,Ward Total,2,2072,5,2,1,1,1,18,0,1,3,0,1,0,572,8,3,3,1,5,1,1,0,51,0,2752,2701
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kwekwe,Kwekwe Central,Kwekwe Municipality,13,Kwekwe Golf Club,5801KWE1301,1,665,0,0,0,1,0,3,0,0,0,0,0,0,155,0,0,1,0,0,0,0,0,3,0,829,826
Kwekwe,Kwekwe Central,Kwekwe Municipality,13,Kwekwe A Primary School,5801KWE1302 A,0,328,0,0,0,0,2,0,0,0,0,0,0,0,88,1,1,0,1,0,0,0,0,6,0,427,421
Kwekwe,Kwekwe Central,Kwekwe Municipality,13,Kwekwe A Primary School,5801KWE1302 B,1,329,0,0,1,0,1,3,0,0,0,0,0,0,98,0,0,1,1,0,0,0,0,1,0,436,435
Kwekwe,Kwekwe Central,Kwekwe Municipality,13,Kwekwe B Primary School,5801KWE1303,1,189,0,0,0,1,1,4,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,5,0,258,253
,,,,4 Polling Stations,Ward Total,3,1511,0,0,1,2,4,10,0,0,0,0,0,0,398,1,1,2,2,0,0,0,0,15,0,1950,1935
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kwekwe,Kwekwe Central,Kwekwe Municipality,14,Golden Acres Open Space Tent,5801KWE1401,0,220,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,1,0,0,0,0,4,0,349,345
Kwekwe,Kwekwe Central,Kwekwe Municipality,14,Msasa Business Centre Tent,5801KWE1402 A,1,566,1,0,0,0,1,4,0,0,1,0,0,0,198,0,0,0,3,0,0,0,0,4,0,779,775
Kwekwe,Kwekwe Central,Kwekwe Municipality,14,Msasa Business Centre Tent,5801KWE1402 B,1,554,1,0,0,0,0,2,0,0,1,0,0,0,191,1,0,0,0,0,0,0,0,7,0,758,751
,,,,3 Polling Stations,Ward Total,2,1340,2,0,0,0,1,6,0,0,2,0,0,0,513,1,0,0,4,0,0,0,0,15,0,1886,1871
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kwekwe Central Constituency Total,,,,,,43,15202,34,5,5,13,30,106,6,3,10,0,3,2,4888,37,13,22,13,22,11,7,9,206,0,20690,20484
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kwekwe,Mbizo,Kwekwe Municipality,2,Nazarene Mbizo Sec 8 Church,5801KWE0201 A,1,464,1,0,0,1,2,5,0,1,0,0,0,0,134,0,0,0,0,0,0,0,0,11,0,620,609
Kwekwe,Mbizo,Kwekwe Municipality,2,Nazarene Mbizo Sec 8 Church,5801KWE0201 B,3,470,0,1,0,0,5,1,0,0,0,0,0,1,109,0,0,0,2,0,1,0,0,0,0,593,593
Kwekwe,Mbizo,Kwekwe Municipality,2,Nazarene Mbizo Sec 8 Church,5801KWE0201 C,2,451,1,0,0,0,7,7,1,0,1,0,0,0,133,0,0,3,1,1,1,1,0,12,0,622,610
Kwekwe,Mbizo,Kwekwe Municipality,2,Rusununguko 7 Play Centre,5801KWE0202 A,2,449,0,0,0,0,0,5,1,0,0,0,0,0,149,1,0,0,2,1,0,0,1,16,0,627,611
Kwekwe,Mbizo,Kwekwe Municipality,2,Rusununguko 7 Play Centre,5801KWE0202 B,1,464,0,0,0,1,1,1,0,0,0,0,0,0,146,1,0,2,2,0,0,1,0,7,0,627,620
Kwekwe,Mbizo,Kwekwe Municipality,2,Rusununguko 7 Play Centre,5801KWE0202 C,2,460,0,0,0,0,6,1,0,0,0,0,0,0,138,1,0,0,1,2,0,1,0,16,0,628,612
Kwekwe,Mbizo,Kwekwe Municipality,2,Mbizo 15 Secondary School,5801KWE0203 A,0,544,0,0,0,0,1,3,0,0,0,0,0,0,145,0,1,0,3,1,0,0,0,6,0,704,698
Kwekwe,Mbizo,Kwekwe Municipality,2,Mbizo 15 Secondary School,5801KWE0203 B,2,523,0,0,0,4,1,5,1,0,0,0,0,0,155,0,0,1,1,0,0,0,0,13,0,706,693
Kwekwe,Mbizo,Kwekwe Municipality,2,Mbizo 15 Secondary School,5801KWE0203 C,2,530,2,0,1,0,2,6,0,0,1,0,0,1,144,0,0,0,1,0,0,0,0,15,0,705,690
,,,,9 Polling Stations,Ward Total,15,4355,4,1,1,6,25,34,3,1,2,0,0,2,1253,3,1,6,13,5,2,3,1,96,0,5832,5736
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kwekwe,Mbizo,Kwekwe Municipality,3,Emthonjeni Primary School,5801KWE0301 A,4,586,1,0,1,0,5,8,0,0,0,0,0,0,143,1,0,0,1,0,1,1,0,9,0,761,752
Kwekwe,Mbizo,Kwekwe Municipality,3,Emthonjeni Primary School,5801KWE0301 B,1,582,1,0,0,0,1,7,0,0,0,0,0,0,165,3,0,1,1,0,1,1,1,5,0,770,765
Kwekwe,Mbizo,Kwekwe Municipality,3,Maryward Primary School,5801KWE0302,1,489,1,0,0,0,2,3,0,0,0,0,0,0,130,0,0,2,3,1,0,0,0,14,0,646,632
Kwekwe,Mbizo,Kwekwe Municipality,3,Muonde Open Space Tent,5801KWE0303,0,247,1,0,0,0,1,5,0,0,0,0,0,0,66,1,0,1,1,1,1,0,1,3,0,329,326
Kwekwe,Mbizo,Kwekwe Municipality,3,Section 6 Towerlight Tent,5801KWE0304 A,1,561,2,0,0,0,2,7,0,0,0,0,0,1,146,1,0,0,4,0,1,1,0,20,0,747,727
Kwekwe,Mbizo,Kwekwe Municipality,3,Section 6 Towerlight Tent,5801KWE0304 B,1,535,3,0,0,1,0,3,0,0,0,0,0,1,170,1,0,1,2,0,0,0,2,22,1,742,720
,,,,6 Polling Stations,Ward Total,8,3000,9,0,1,1,11,33,0,0,0,0,0,2,820,7,0,5,12,2,4,3,4,73,1,3995,3922
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kwekwe,Mbizo,Kwekwe Municipality,4,Dambudzo Primary School,5801KWE0401 A,1,648,1,0,0,0,1,2,0,0,0,0,0,0,172,0,0,0,0,1,0,0,0,5,0,831,826
Kwekwe,Mbizo,Kwekwe Municipality,4,Dambudzo Primary School,5801KWE0401 B,0,627,1,0,0,0,2,3,0,1,0,0,0,0,172,1,0,0,4,0,0,0,0,5,0,816,811
Kwekwe,Mbizo,Kwekwe Municipality,4,Section 12 Housing Tent,5801KWE0403,1,664,0,0,0,0,1,5,0,0,0,0,1,0,152,0,0,0,0,0,2,2,0,2,0,830,828
,,,,3 Polling Stations,Ward Total,2,1939,2,0,0,0,4,10,0,1,0,0,1,0,496,1,0,0,4,1,2,2,0,12,0,2477,2465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kwekwe,Mbizo,Kwekwe Municipality,5,Dutchman's Pool,5801KWE0501,2,101,0,0,0,0,0,1,0,0,0,0,0,0,45,0,1,0,0,0,0,0,0,0,0,150,150
Kwekwe,Mbizo,Kwekwe Municipality,5,Section 3 Play Centre,5801KWE0502 A,5,437,0,0,1,0,1,1,0,0,0,0,0,0,164,0,0,0,1,0,0,0,0,10,0,620,610
Kwekwe,Mbizo,Kwekwe Municipality,5,Section 3 Play Centre,5801KWE0502 B,0,449,0,0,0,0,1,0,0,0,0,0,0,1,164,2,3,1,1,0,0,0,1,4,0,627,623
Kwekwe,Mbizo,Kwekwe Municipality,5,Section 3 Play Centre,5801KWE0502 C,2,450,1,0,0,0,0,4,0,0,0,0,0,1,153,0,1,1,2,0,1,0,0,7,0,623,616
Kwekwe,Mbizo,Kwekwe Municipality,5,Tasungana Primary School,5801KWE0503 A,0,522,1,0,0,1,2,0,0,0,1,0,0,0,131,0,0,1,4,0,0,0,0,5,0,668,663
Kwekwe,Mbizo,Kwekwe Municipality,5,Tasungana Primary School,5801KWE0503 B,4,526,0,0,0,0,3,0,0,0,0,0,0,0,144,1,0,1,1,0,0,0,0,4,0,684,680
Kwekwe,Mbizo,Kwekwe Municipality,5,Ruvimbo Primary School School,5801KWE0505,3,553,0,1,0,0,0,2,0,0,2,0,0,0,130,1,0,0,5,0,0,0,0,4,0,701,697
,,,,7 Polling Stations,Ward Total,16,3038,2,1,1,1,7,8,0,0,3,0,0,2,931,4,5,4,14,0,1,0,1,34,0,4073,4039
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kwekwe,Mbizo,Kwekwe Municipality,11,Chana A Primary School,5801KWE1101 A,1,553,0,0,1,0,3,4,0,0,0,0,1,0,167,1,0,1,2,0,1,0,0,5,0,740,735
Kwekwe,Mbizo,Kwekwe Municipality,11,Chana A Primary School,5801KWE1101 B,1,548,1,1,0,0,1,3,0,0,0,0,0,0,146,0,0,1,1,1,0,0,0,4,0,708,704
Kwekwe,Mbizo,Kwekwe Municipality,11,Chana A Primary School,5801KWE1101 C,3,530,0,0,0,1,1,3,0,0,0,0,0,0,183,0,0,1,1,0,0,4,0,4,0,731,727
Kwekwe,Mbizo,Kwekwe Municipality,11,Chana B Primary School,5801KWE1102 A,0,458,0,0,0,0,4,1,0,0,0,0,1,0,175,1,0,0,0,0,0,1,1,8,0,650,642
Kwekwe,Mbizo,Kwekwe Municipality,11,Chana B Primary School,5801KWE1102 B,1,449,1,0,0,0,3,8,0,0,0,0,1,1,184,1,0,2,1,0,0,1,1,6,0,660,654
Kwekwe,Mbizo,Kwekwe Municipality,11,Chana B Primary School,5801KWE1102 C,2,428,0,0,0,0,4,6,0,0,0,0,0,0,196,2,1,0,2,0,0,1,1,4,0,647,643
Kwekwe,Mbizo,Kwekwe Municipality,11,Section 21/22 Open Space,5801KWE1103,1,262,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,5,0,342,337
Kwekwe,Mbizo,Kwekwe Municipality,11,Zaoga section 18 Church,5801KWE1104 A,0,338,0,0,0,0,1,3,0,0,1,0,0,0,115,0,0,0,1,1,1,0,0,3,0,464,461
Kwekwe,Mbizo,Kwekwe Municipality,11,Zaoga section 18 Church,5801KWE1104 B,1,324,3,0,0,0,0,1,0,0,0,0,0,0,116,1,0,0,2,0,0,0,0,2,0,450,448
,,,,9 Polling Stations,Ward Total,10,3890,5,1,1,1,17,29,0,0,1,0,3,1,1356,6,1,5,10,2,2,7,3,41,0,5392,5351
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kwekwe,Mbizo,Kwekwe Municipality,12,Black Wadada Shopping Centre Tent,5801KWE1201 A,1,475,0,0,0,0,0,1,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,7,0,625,618
