MATABELELAND NORTH PROVINCE : 2018 HARMONISED PRESIDENTIAL ELECTION RESULTS: 30 JULY 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISTRICT,CONSTITUENCY ,LOCAL AUTHORITY,WARD NO.,POLLING STATIONS,POLLING STATION CODE,Busha Joseph Makamba FreeZim Congress,"Chamisa Nelson
Movement for Democratic Change Alliance","Chikanga Everisto Washington
Rebuild Zimbabwe","Dzapasi Melbah
#1980 Freedom Movement Zimbabwe","Gava Mapfumo Peter
United Democratic Front","Hlabangana Kwanele
Republican Party of Zimbabwe","Kasiyamhuru Blessing
Zimbabwe Partnership for Prosperity","Khupe Thokozani
Movement for Democratic Change","Madhuku Lovemore
National Constitutional Assembly","Mangoma Elton Steers
Coalition of Democrats","Manyika Noah Ngoni
Build Zimbabwe Alliance","Mapfumo-Chiguvare Tonderai Johannes Timothy
People's Progressive party Zimbabwe","Mariyacha Violet
United Democracy Movement","Mhambi-Hove Divine
national Alliance of Patriotic and Democratic Republicans","Mnangagwa Emmerson Dambudzo
Zimbabwe African National Union Patriotic Front","Moyo Nkosana Donald
Alliance for the People's Agenda","Mteki Bryn Taurai
Independent","Mugadza Willard Tawonezvi
Bethel Christian Party","Mujuru Joice Teurai Ropa
People's Rainbow Coalition","Munyanduri Tendai Peter
New Patriotic Front","Mutinhiri Ambrose
National Patriotic Front","Shumba Kuzozvirava Daniel
United Democratic Alliance","Wilson Harry Peter
Democratic Opposition Party",Total Votes Rejected ,Ballot Paper Unaccounted for,Total Votes Cast,Total Valid Votes Cast
,,,,,,,,,,,,,,BINGA NORTH CONSTITUENCY,,,,,,,,,,,,,,,,,,
Binga,Binga North,Binga RDC,6,Musenampongo Primary School,0600BGA0604,1,325,0,0,0,0,1,8,0,0,0,0,0,1,22,5,0,0,0,0,0,0,4,10,0,377,367
Binga,Binga North,Binga RDC,6,Samende Primary School,0600BGA0605,4,530,3,0,0,2,4,7,0,1,1,0,0,0,80,6,0,1,2,1,1,1,0,15,0,659,644
,,,,5 POLLING STATIONS,WARD TOTAL,10,2314,4,0,0,4,7,32,2,1,2,0,0,1,203,36,0,6,16,1,3,6,12,95,0,2755,2660
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binga,Binga North,Binga RDC,7,Bulawayo Kraal Primary School,0600BGA0701,2,421,4,1,2,0,1,12,0,0,0,0,0,1,194,6,1,1,2,2,0,1,0,31,0,682,651
Binga,Binga North,Binga RDC,7,Cheenga Primary School,0600BGA0702,0,277,1,0,1,1,1,5,0,0,0,0,0,0,70,5,0,1,0,0,0,1,1,10,0,374,364
Binga,Binga North,Binga RDC,7,Chibondo Primary School,0600BGA0703,5,291,1,0,1,1,0,5,1,0,0,0,0,1,128,2,0,1,1,0,1,1,0,16,0,456,440
Binga,Binga North,Binga RDC,7,Manjolo Primary School,0600BGA0704,3,441,2,0,1,2,2,2,0,1,0,0,0,1,161,4,0,0,1,0,0,1,0,27,0,649,622
,,,,4 POLLING STATIONS,WARD TOTAL,10,1430,8,1,5,4,4,24,1,1,0,0,0,3,553,17,1,3,4,2,1,4,1,84,0,2161,2077
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binga,Binga North,Binga RDC,8,Sebungwe Mouth Primary School,0600BGA0801,0,259,3,0,0,2,4,6,2,0,1,0,0,0,33,4,0,0,0,0,0,0,2,5,0,321,316
Binga,Binga North,Binga RDC,8,Simatelele Primary School A,0600BGA0802 A,5,259,4,0,2,0,1,10,0,0,0,1,0,0,110,4,0,2,1,0,2,2,0,28,0,431,403
Binga,Binga North,Binga RDC,8,Simatelele Primary School B,0600BGA0802 B,4,306,4,2,2,1,3,13,1,0,0,1,1,3,93,5,1,3,0,0,1,0,0,17,0,461,444
Binga,Binga North,Binga RDC,8,Sowa Primary School,0600BGA0803,2,213,2,0,0,0,0,2,0,0,1,0,0,0,68,4,0,2,0,0,1,0,0,18,0,313,295
,,,,3 POLLING STATIONS,WARD TOTAL,11,1037,13,2,4,3,8,31,3,0,2,2,1,3,304,17,1,7,1,0,4,2,2,68,0,1526,1458
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binga,Binga North,Binga RDC,9,Chalumba Primary School,0600BGA0901,0,158,0,0,0,1,2,3,0,0,0,0,0,0,39,2,0,0,2,0,0,1,0,2,0,210,208
Binga,Binga North,Binga RDC,9,Junamina Primary School,0600BGA0902,2,300,1,0,0,0,2,5,1,0,0,0,0,1,132,2,0,0,0,0,0,2,0,7,0,455,448
Binga,Binga North,Binga RDC,9,Mangani Business Centre Tent,0600BGA0903,3,397,1,0,0,0,5,4,1,0,0,0,0,0,118,3,0,0,2,0,0,1,0,3,0,538,535
