MASHONALAND CENTRAL PROVINCE:  2018 HARMONISED PRESIDENTIAL ELECTION RESULTS: 30 JULY 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISTRICT,CONSTITUENCY ,LOCAL AUTHORITY,WARD NO.,POLLING STATIONS,STATION CODE,"Busha Joseph Makamba
FreeZim Congress","Chamisa Nelson
Movement for Democratic Change Alliance","Chikanga Everisto Washington
Rebuild Zimbabwe","Dzapasi Melbah
#1980 Freedom Movement Zimbabwe","Gava Mapfumo Peter
United Democratic Front","Hlabangana Kwanele
Republican Party of Zimbabwe","Kasiyamhuru Blessing
Zimbabwe Partnership for Prosperity","Khupe Thokozani
Movement for Democratic Change","Madhuku Lovemore
National Constitutional Assembly","Mangoma Elton Steers
Coalition of Democrats","Manyika Noah Ngoni
Build Zimbabwe Alliance","Mapfumo-Chiguvare Tonderai Johannes Timothy
People's Progressive Party Zimbabwe","Mariyacha Violet
United Democracy Movement","Mhambi-Hove Divine
National Alliance of Patriotic and Democratic Republicans","Mnangagwa Emmerson Dambudzo
Zimbabwe African National Union Patriotic Front","Moyo Nkosana Donald
Alliance for the People's Agenda","Mteki Bryn Taurai
Independent","Mugadza Willard Tawonezvi
Bethel Christian Party","Mujuru Joice Teurai Ropa
People's Rainbow Coalition","Munyanduri Tendai Peter
New Patriotic Front","Mutinhiri Ambrose
National Patriotic Front","Shumba Kuzozvirava Daniel
United Democratic Alliance","Wilson Harry Peter
Democratic Opposition Party",Total Votes Rejected,Ballot Paper Unaccounted for,Total Votes Cast,Total Valid Votes Cast
Bindura,Bindura North,Bindura RDC,2,Matepatepa Country Club,0500BIN0204,0,16,0,0,0,0,0,0,0,0,0,0,0,0,735,0,0,0,0,0,0,0,0,3,0,754,751
Bindura,Bindura North,Bindura RDC,2,Mazunga Primary School,0500BIN0205,1,17,0,0,0,0,0,0,0,0,0,1,0,0,481,0,0,1,0,0,0,0,0,4,0,505,501
Bindura,Bindura North,Bindura RDC,2,Terregwai Farm Tent,0500BIN0206,0,1,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,1,0,135,134
,,,,6 Polling Stations,Ward Total,1,60,0,0,0,2,0,0,0,0,0,1,0,1,"2,741",1,0,1,3,0,1,0,0,15,0,"2,827","2,812"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bindura,Bindura North,Bindura RDC,3,Chomukute Pre-School,0500BIN0301,1,20,1,0,0,1,0,1,0,1,0,0,0,3,672,1,0,0,1,0,1,0,0,10,0,713,703
Bindura,Bindura North,Bindura RDC,3,Duntarvie Farm Tent,0500BIN0302,0,11,0,0,0,0,0,0,0,0,0,0,0,0,159,1,0,0,1,0,1,0,0,2,0,175,173
Bindura,Bindura North,Bindura RDC,3,Dorper Farm Tent,0500BIN0303,0,15,0,0,0,0,0,0,0,0,0,0,0,0,357,0,0,0,0,0,0,0,0,3,0,375,372
Bindura,Bindura North,Bindura RDC,3,Hinton Estates Tent,0500BIN0304,1,13,1,0,0,0,0,0,1,0,0,0,0,0,448,1,0,0,0,0,0,0,0,2,0,467,465
Bindura,Bindura North,Bindura RDC,3,Lagnaha farm Tent,0500BIN0305,0,18,0,0,0,1,1,0,0,0,0,0,0,0,500,0,0,0,0,0,1,0,0,5,0,526,521
Bindura,Bindura North,Bindura RDC,3,Mabwemachena Secondary School,0500BIN0306,0,13,1,0,1,1,0,0,1,0,0,0,0,0,863,0,0,0,0,0,0,0,1,7,0,888,881
Bindura,Bindura North,Bindura RDC,3,Makori Range Primary School,0500BIN0307,0,4,0,0,0,0,0,0,0,0,0,0,0,0,269,0,0,0,5,0,0,0,0,1,0,279,278
Bindura,Bindura North,Bindura RDC,3,Rosetta Rust Primary School,0500BIN0308,1,40,0,0,0,1,0,0,0,0,0,0,0,0,641,1,0,0,0,0,0,0,0,5,0,689,684
,,,,8 Polling Stations,Ward Total,3,134,3,0,1,4,1,1,2,1,0,0,0,3,"3,909",4,0,0,7,0,3,0,1,35,0,"4,112","4,077"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bindura,Bindura North,Bindura RDC,4,Bodele farm Tent,0500BIN0401,0,2,0,0,0,1,0,1,0,0,0,0,0,0,159,0,0,0,0,0,0,0,0,0,0,163,163
Bindura,Bindura North,Bindura RDC,4,Chiveri Farm,0500BIN0402,0,5,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,1,2,0,172,170
Bindura,Bindura North,Bindura RDC,4,Condwelani farm Tent,0500BIN0403,0,8,0,0,0,0,0,0,0,0,0,0,0,0,339,0,0,0,0,0,0,0,0,1,0,348,347
Bindura,Bindura North,Bindura RDC,4,Guitingwood farm Tent,0500BIN0404,1,44,0,0,1,0,0,0,0,0,0,0,0,0,592,0,0,0,2,0,0,0,0,6,0,646,640
Bindura,Bindura North,Bindura RDC,4,Mupfurudzi Settlement Tent,0500BIN0405,0,40,0,0,0,0,0,0,0,0,0,0,0,0,555,0,0,0,0,0,0,0,0,2,0,597,595
Bindura,Bindura North,Bindura RDC,4,Nyamuyambuka Tent,0500BIN0406,0,5,0,0,0,1,0,0,0,0,0,0,0,0,273,0,0,0,1,0,0,0,0,4,0,284,280
Bindura,Bindura North,Bindura RDC,4,Retreat/Kambira Primary School,0500BIN0407,1,54,0,0,2,2,1,0,0,0,0,2,0,0,805,1,0,0,0,2,2,0,1,2,0,875,873
,,,,7 Polling Stations,Ward Total,2,158,0,0,3,4,1,1,0,0,0,2,0,0,"2,887",1,0,0,3,2,2,0,2,17,0,"3,085","3,068"
