BULAWAYO METROPOLITAN PROVINCE 2018 HARMONISED PRESIDENTIAL ELECTION RESULTS: 30 JULY 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISTRICT,CONSTITUENCY ,LOCAL AUTHORITY,WARD NO.,POLLING STATIONS,STATION CODE,Busha Joseph Makamba FreeZim Congress,Chamisa Nelson MDC Alliance,Chikanga  Everisto Washington Rebuild Zimbabwe,Dzapasi Melbah # 1980 Freedom Movement Zimbabwe,Gava Peter Mapfumo UDF,Hlabangana Kwanele RPZ,Kasiyamhuru Blessing ZPP,Khupe Thokozani MDC-T,Madhuku Lovemore NCA,Mangoma Elton Steers Coalition of Democrats,Manyika Noah Ngoni BZA,Mapfumo Chiguvare Tonderayi Johannes Timothy PPPZ,MARIYACHA Violet UDM,Mhambi-Hove Divine NAPDR,Mnangagwa Emmerson Dambudzo ZANU PF,Moyo Donald Nkosana APA,Mteki Bryn Taurai Independent,Mugadza Willard Tawonezvi BCP,Mujuru Joice Teurai Ropa PRC,Munyanduri Tenda Peter NPF,MutinhirI Ambrose NPF,Shumba Kuzozvirava Doniel UDA,Wilson Peter Harry DOP,Total Votes Rejected ,Ballot Paper Unaccounted for,Total Votes Cast,Total Valid Votes Cast
Bulawayo,Bulawayo Central,Bulawayo Municipality,2,Raigate Education Offices,0801BYO0218,0,91,1,0,0,0,0,1,0,0,0,0,0,0,59,2,0,0,1,0,0,0,0,3,0,158,155
Bulawayo,Bulawayo Central,Bulawayo Municipality,2,Tegela Garage Tent,0801BYO0219,0,197,1,0,0,0,1,5,0,0,0,0,0,0,84,1,0,0,1,0,0,1,0,0,0,291,291
Bulawayo,Bulawayo Central,Bulawayo Municipality,2,Trenance Primary School,0801BYO0220,0,385,1,1,0,0,1,6,0,0,0,6,0,0,124,2,1,1,9,0,1,0,1,8,0,547,539
Bulawayo,Bulawayo Central,Bulawayo Municipality,2,Umgusa Primary School,0801BYO0221,1,117,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,1,0,0,2,0,175,173
Bulawayo,Bulawayo Central,Bulawayo Municipality,2,Umvutsha Farm,0801BYO0222,0,38,0,0,0,0,0,2,0,0,0,0,1,0,31,0,0,1,1,2,0,0,1,3,0,80,77
Bulawayo,,,,24 Polling Stations,Ward Totals,14,"5,460",14,6,2,12,10,159,2,2,8,8,5,0,"2,486",56,4,8,66,6,8,4,3,82,5,"8,425","8,343"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulawayo,Bulawayo Central,Bulawayo Municipality,5,Bagcwele Shopping Centre Tent,0801BYO0501,2,94,0,0,0,0,0,1,0,0,2,0,0,0,63,1,0,1,1,0,0,0,0,2,0,167,165
Bulawayo,Bulawayo Central,Bulawayo Municipality,5,Bradfield Shopping Centre Tent A,0801BYO0502 A,1,375,1,0,2,1,0,8,0,0,0,0,0,0,102,9,0,0,1,1,0,0,0,3,0,504,501
Bulawayo,Bulawayo Central,Bulawayo Municipality,5,Bradfield Shopping Centre Tent B,0801BYO0502 B,2,319,0,0,0,0,0,6,0,0,0,1,0,0,141,18,0,1,2,0,0,0,0,0,0,490,490
