DISTRICT,CONSTITUENCY,LOCAL AUTHORITY,WARD NO,POLLING STATION,STATION CODE,Busha Joseph Makamba,Chamisa Nelson,Chikanga  Everisto Washington,Dzapasi Melbah ,Gava Peter Mapfumo ,Hlabangana Kwanele,Kasiyamhuru Blessing,Khupe Thokozani,Madhuku Lovemore,Mangoma Elton Steers,Manyika Noah Ngoni,Mapfumo Chiguvare Tonderayi Johannes Timothy,MARIYACHA Violet,Mhambi-Hove Divine,Mnangagwa Emmerson Dambudzo,Moyo Donald Nkosana ,Mteki Bryn Taurai,Mugadza Willard Tawonezvi,Mujuru Joice Teurai Ropa,Munyanduri Tenda Peter,MutinhirI Ambrose,Shumba Kuzozvirava Doniel,Wilson Peter Harry,Total Votes Rejected ,Ballot Paper Unaccounted for,Total Votes Cast,Total Valid Votes Cast
Matobo,Matobo South,Matobo RDC,7,Mazwi Primary School,3900MTB0701,4,136,6,1,1,2,3,14,0,0,2,0,2,1,191,4,3,1,1,2,2,4,0,8,0,388,380
Matobo,Matobo South,Matobo RDC,7,Nyashongwe Primary School,3900MTB0702,2,213,6,0,4,4,6,51,2,3,3,1,3,1,212,3,0,5,3,2,5,2,2,24,0,557,533
Matobo,Matobo South,Matobo RDC,8,Bidi Primary School,3900MTB0801,3,131,5,0,0,3,2,21,1,0,3,2,1,0,259,4,0,3,1,2,1,2,2,7,0,453,446
Matobo,Matobo South,Matobo RDC,8,Mqabuko High School,3900MTB0802,1,128,6,0,1,0,0,8,0,1,1,1,0,0,74,2,1,1,0,0,1,1,0,0,0,227,227
Matobo,Matobo South,Matobo RDC,8,Nhlupho Primary School,3900MTB0803,3,265,5,0,0,3,1,23,0,0,0,0,3,0,162,6,4,2,0,1,2,0,4,8,0,492,484
Matobo,Matobo South,Matobo RDC,9,Guardian Angel Primary School,3900MTB0901,2,51,1,0,0,2,3,4,0,0,2,0,2,0,177,3,0,1,2,0,0,1,0,7,0,258,251
Matobo,Matobo South,Matobo RDC,9,St. Anna Primary School,3900MTB0902,4,186,2,1,2,4,3,10,1,3,1,1,0,0,401,8,1,3,1,2,3,2,4,10,0,653,643
Matobo,Matobo South,Matobo RDC,10,Marinoha Primary School,3900MTB1001,2,227,5,0,1,3,2,7,0,1,0,1,1,0,210,2,0,0,3,1,3,1,0,5,0,475,470
Matobo,Matobo South,Matobo RDC,10,Tjehondo Primary School,3900MTB1002,3,142,3,2,2,5,0,13,1,0,1,0,0,2,291,3,0,2,1,4,2,1,1,8,0,487,479
Umzingwane,Umzingwane,Umzingwane RDC,1,Imbizo Business Centre Tent,8700UMZ0101,3,58,0,1,3,0,0,3,0,1,0,1,0,1,196,0,1,1,0,0,0,0,1,4,0,274,270
