"MANICALAND PROVINCE :2018 HARMONISED PRESIDENTIAL ELECTION RESULTS:30 JULY  2018 
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISTRICT,CONSTITUENCY ,LOCAL AUTHORITY,WARD NO.,POLLING STATIONS,POLLING STATION CODE,"Busha Joseph Makamba
FreeZim Congress","Chamisa Nelson
Movement for Democratic Change Alliance","Chikanga Everisto Washington
Rebuild Zimbabwe","Dzapasi Melbah
#1980 Freedom Movement Zimbabwe","Gava Mapfumo Peter
United Democratic Front","Hlabangana Kwanele
Republican Party of Zimbabwe","Kasiyamhuru Blessing
Zimbabwe Partnership for Prosperity","Khupe Thokozani
Movement for Democratic Change","Madhuku Lovemore
National Constitutional Assembly","Mangoma Elton Steers
Coalition of Democrats","manyika Noah Ngoni
Build Zimbabwe Alliance","Mapfumo-Chiguvare Tonderai Johannes Timothy
People's Progressive party Zimbabwe","Mariyacha Violet
United Democracy Movement","Mhambi-Hove Divine
national Alliance of Patriotic and Democratic Republicans","Mnangagwa Emmerson Dambudzo
Zimbabwe African National Union Patriotic Front","Moyo Nkosana Donald
Alliance for the People's Agenda","Mteki Bryn Taurai
Independent","Mugadza Willard Tawonezvi
Bethel Christian Party","Mujuru Joice Teurai Ropa
People's Rainbow Coalition","Munyanduri Tendai Peter
New Patriotic Front","Mutinhiri Ambrose
National Patriotic Front","Shumba Kuzozvirava Daniel
United Democratic Alliance","Wilson Harry Peter
Democratic Opposition Party",Total Votes Rejected ,Ballot Paper Unaccounted for,Total Votes Cast,Total Valid Votes Cast
Buhera,Buhera Central,Buhera RDC,22,Masasa Business Centre Tent,0700BUH2205,4,103,2,0,0,2,0,3,0,1,0,0,1,0,328,1,0,0,1,1,1,1,1,14,0,464,450
Buhera,Buhera Central,Buhera RDC,22,Matereke Primary School,0700BUH2206,5,76,2,0,0,2,0,1,1,0,0,0,0,0,168,3,1,3,2,0,0,1,0,10,0,275,265
Buhera,Buhera Central,Buhera RDC,22,Mutezo Primary School,0700BUH2207,1,121,5,0,0,0,0,5,0,0,1,0,0,0,178,3,0,1,2,0,1,0,0,8,0,326,318
Buhera,Buhera Central,Buhera RDC,22,Muzilikazi Primary School,0700BUH2208,1,64,0,0,0,0,0,1,0,0,0,0,0,0,360,0,0,0,0,0,0,0,1,5,0,432,427
Buhera,Buhera Central,Buhera RDC,22,Usavi Primary School,0700BUH2209,12,124,2,0,0,1,1,2,0,1,0,0,0,1,210,3,1,3,2,2,1,1,2,10,0,379,369
Buhera,Buhera Central,Buhera RDC,22,Zvomoyo Primary School,0700BUH2210,4,68,2,0,1,3,1,1,0,0,0,0,0,1,278,0,1,0,1,0,0,0,1,10,0,372,362
Buhera,Buhera Central,Buhera RDC,22,Zvomoyo Secondary School,0700BUH2211,2,34,1,0,0,2,0,3,0,0,2,0,0,0,180,0,0,0,1,0,0,0,1,1,0,227,226
,,,,11 POLLING STATIONS,Ward Total,40,987,20,1,1,13,2,25,1,2,3,2,1,5,3016,13,5,9,12,4,5,5,10,131,0,4313,4182
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buhera,Buhera Central,Buhera RDC,23,Chirozva Primary School,0700BUH2301,6,286,3,1,0,1,1,6,0,0,1,0,1,2,153,1,1,0,2,0,1,1,0,14,0,481,467
Buhera,Buhera Central,Buhera RDC,23,Chirozva Secondary School,0700BUH2302,5,258,2,1,1,5,0,6,1,3,2,1,0,0,328,0,1,3,3,1,1,2,3,12,0,639,627
Buhera,Buhera Central,Buhera RDC,23,Chitengu Business Centre Tent,0700BUH2303,4,384,4,0,0,4,3,8,0,0,0,0,1,0,161,6,1,4,1,0,4,2,1,13,0,601,588
Buhera,Buhera Central,Buhera RDC,23,Chipongwe Business Centre Tent,0700BUH2304,1,140,2,0,1,0,0,3,0,1,3,0,0,0,169,3,0,1,9,1,1,0,0,7,0,342,335
Buhera,Buhera Central,Buhera RDC,23,Kandenga Primary School,0700BUH2305,4,161,2,0,0,5,1,5,0,0,0,0,0,1,257,2,2,4,0,0,0,0,2,13,0,459,446
Buhera,Buhera Central,Buhera RDC,23,Machiragwama Primary School,0700BUH2306,6,203,3,0,3,1,3,6,0,1,1,2,0,2,230,2,5,3,5,3,3,0,0,12,0,494,482
Buhera,Buhera Central,Buhera RDC,23,Mupeza Primary School,0700BUH2307,0,133,1,0,1,0,5,3,0,0,0,0,0,0,228,2,0,2,0,0,1,0,2,26,0,404,378
,,,, 7 POLLING STATIONS,Ward Total,26,1565,17,2,6,16,13,37,1,5,7,3,2,5,1526,16,10,17,20,5,11,5,8,97,0,3420,3323
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buhera,Buhera Central,Buhera RDC,32,Chimbudzi Business Centre Tent,0700BUH3201,2,136,0,1,0,1,0,3,0,0,0,0,0,0,193,2,0,0,1,1,0,0,2,4,0,346,342
Buhera,Buhera Central,Buhera RDC,32,Chimbudzi Primary School,0700BUH3202,3,156,1,0,0,1,0,5,0,0,0,0,0,2,101,1,0,0,1,0,1,0,1,10,0,283,273
Buhera,Buhera Central,Buhera RDC,32,Chiurwi Primary School,0700BUH3203,0,224,1,0,0,1,1,1,0,0,2,0,0,0,351,2,0,0,0,0,2,2,2,21,0,610,589
Buhera,Buhera Central,Buhera RDC,32,Maneta Primary School,0700BUH3204,2,65,4,0,0,0,1,0,0,0,0,1,1,0,77,0,0,0,0,2,0,0,1,6,0,160,154
Buhera,Buhera Central,Buhera RDC,32,Matsvai Changamire Primary School,0700BUH3205,8,207,6,1,1,2,0,5,1,0,0,0,3,5,299,1,0,0,1,1,0,0,1,18,0,560,542
Buhera,Buhera Central,Buhera RDC,32,Matiyasi Business Centre Tent,0700BUH3206,0,109,0,0,0,0,0,1,0,0,0,0,0,0,132,1,0,0,2,1,0,0,0,4,0,250,246
,,,, 7 POLLING STATIONS,Ward Total,15,897,12,2,1,5,2,15,1,0,2,1,4,7,1153,7,0,0,5,5,3,2,7,63,0,2209,2146
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BUHERA CENTRAL CONSTITUENCY TOTALS,,158,8288,115,8,17,61,44,202,8,17,20,9,16,48,13015,119,33,47,71,39,48,36,58,629,0,23106,22477
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buhera,Buhera North,Buhera RDC,7,Chengoma Government Secondary School,0700BUH0701,3,295,0,0,0,1,2,3,1,1,0,0,0,0,243,1,0,0,2,0,0,0,0,8,0,560,552
