MASHONALAND WEST PROVINCE: 2018 HARMONISED ELECTIONS PRESIDENTIAL ELECTION RESULTS:30 JULY 2018 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISTRICT,CONSTITUENCY ,LOCAL AUTHORITY,WARD NO.,POLLING STATIONS,POLLING CODE,"Busha Joseph Makamba
FreeZim Congress","Chamisa Nelson
Movement for Democratic Change Alliance","Chikanga Everisto Washington
Rebuild Zimbabwe","Dzapasi Melbah
#1980 Freedom Movement Zimbabwe","Gava Mapfumo Peter
United Democratic Front","Hlabangana Kwanele
Republican Party of Zimbabwe","Kasiyamhuru Blessing
Zimbabwe Partnership for Prosperity","Khupe Thokozani
Movement for Democratic Change","Madhuku Lovemore
National Constitutional Assembly","Mangoma Elton Steers
Coalition of Democrats","Manyika Noah Ngoni
Build Zimbabwe Alliance","Mapfumo-Chiguvare Tonderai Johannes Timothy
People's Progressive Party Zimbabwe","Mariyacha Violet
United Democracy Movement","Mhambi-Hove Divine
National Alliance of Patriotic and Democratic Republicans","Mnangagwa Emmerson Dambudzo
Zimbabwe African National Union Patriotic Front","Moyo Nkosana Donald
Alliance for the People's Agenda","Mteki Bryn Taurai
Independent","Mugadza Willard Tawonezvi
Bethel Christian Party","Mujuru Joice Teurai Ropa
People's Rainbow Coalition","Munyanduri Tendai Peter
New Patriotic Front","Mutinhiri Ambrose
National Patriotic Front","Shumba Kuzozvirava Daniel
United Democratic Alliance","Wilson Harry Peter
Democratic Opposition Party",Total Votes Rejected ,Ballot Paper Unaccounted for,Total Votes Cast,Total Valid Votes Cast
Makonde,Chinhoyi,Chinhoyi Municipality,11,Lomagundi Primary School,7001CHIM1103,0,142,0,0,0,0,0,0,0,1,0,0,0,0,59,0,0,0,0,0,0,0,0,2,0,204,202
Makonde,Chinhoyi,Chinhoyi Municipality,11,Sinoia Citrus Farm Tent,7001CHIM1104,3,94,1,0,0,4,1,1,0,0,0,0,0,1,309,1,0,0,0,1,3,0,0,10,0,429,419
,,,,,Ward Total,4,636,2,0,0,4,1,4,0,1,0,0,0,1,640,3,1,0,2,1,4,0,0,19,0,1323,1304
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makonde,Chinhoyi,Chinhoyi Municipality,12,Bethsida Church,7001CHIM1201,0,329,0,0,0,0,0,2,0,0,0,0,0,0,115,1,0,1,1,0,0,0,0,0,0,449,449
Makonde,Chinhoyi,Chinhoyi Municipality,12,Brundish Open Space,7001CHIM1202,0,460,0,0,0,1,1,4,1,0,0,0,0,0,170,1,1,1,0,0,1,0,0,3,0,644,641
Makonde,Chinhoyi,Chinhoyi Municipality,12,Matereke Shopping Centre,7001CHIM1203,1,337,0,0,0,0,2,1,0,0,0,0,0,0,131,1,0,0,0,1,2,0,0,2,0,478,476
Makonde,Chinhoyi,Chinhoyi Municipality,12,Mhanyame Primary School,7001CHIM1204,1,328,0,0,0,0,0,0,0,0,0,0,0,0,114,1,0,0,1,0,0,0,0,2,0,447,445
Makonde,Chinhoyi,Chinhoyi Municipality,12,Staff Quarters Open Space,7001CHIM1205,1,394,2,0,0,0,0,1,0,0,0,0,0,0,147,0,0,0,3,0,0,0,0,2,0,550,548
,,,,,Ward Total,3,1848,2,0,0,1,3,8,1,0,0,0,0,0,677,4,1,2,5,1,3,0,0,9,0,2568,2559
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makonde,Chinhoyi,Chinhoyi Municipality,13,Alpha College,7001CHIM1301 A,2,426,2,0,0,0,0,2,0,0,0,0,1,0,162,1,0,1,2,0,0,0,0,4,0,603,599
Makonde,Chinhoyi,Chinhoyi Municipality,13,Alpha College,7001CHIM1301 B,2,413,2,0,1,0,1,0,0,0,0,0,0,0,164,2,0,1,4,1,0,0,0,9,0,600,591
Makonde,Chinhoyi,Chinhoyi Municipality,13,Rujeko ‘A’ Primary School,7001CHIM1302,1,405,0,0,0,1,0,1,0,0,0,0,0,0,184,0,0,0,1,0,0,0,0,7,0,600,593
Makonde,Chinhoyi,Chinhoyi Municipality,13,Rujeko ‘B’ Primary School,7001CHIM1303 A,1,386,0,0,0,0,1,1,0,0,0,0,0,0,136,0,0,0,2,0,0,0,0,8,0,535,527
Makonde,Chinhoyi,Chinhoyi Municipality,13,Rujeko ‘B’ Primary School,7001CHIM1303 B,0,391,0,0,0,0,0,0,1,0,0,0,0,0,119,0,0,1,0,0,1,0,0,7,0,520,513
Makonde,Chinhoyi,Chinhoyi Municipality,13,Ruvimbo Primary School,7001CHIM1304 A,4,614,0,0,0,0,0,4,0,0,1,0,0,0,177,2,0,0,6,0,0,0,0,5,0,813,808
Makonde,Chinhoyi,Chinhoyi Municipality,13,Ruvimbo Primary School,7001CHIM1304 B,4,622,1,0,0,0,1,2,0,0,0,0,0,0,171,2,0,1,0,0,1,0,1,14,0,820,806
Makonde,Chinhoyi,Chinhoyi Municipality,13,Salvation Army Church,7001CHIM1305,0,561,0,0,0,1,0,0,1,0,0,0,0,0,194,1,0,2,1,0,0,2,0,1,0,764,763
,,,,,Ward Total,14,3818,5,0,1,2,3,10,2,0,1,0,1,0,1307,8,0,6,16,1,2,2,1,55,0,5255,5200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makonde,Chinhoyi,Chinhoyi Municipality,14,Alaska Country Club,7001CHIM1401,0,216,3,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,6,0,0,0,0,5,0,346,341
Makonde,Chinhoyi,Chinhoyi Municipality,14,Alaska Dolomite Primary School,7001CHIM1402,0,184,0,0,0,0,0,2,0,0,0,0,0,0,133,1,0,0,0,1,0,0,0,4,0,325,321
Makonde,Chinhoyi,Chinhoyi Municipality,14,Alaska High School,7001CHIM1403,2,280,1,0,0,0,0,0,0,0,,0,0,0,200,0,0,3,2,1,0,1,0,4,0,494,490
Makonde,Chinhoyi,Chinhoyi Municipality,14,Alaska Primary School,7001CHIM1404,1,373,0,1,0,1,1,5,0,0,1,0,1,0,279,2,0,0,8,2,0,0,0,10,0,685,675
,,,,,Ward Total,3,1053,4,1,0,1,1,7,0,0,1,0,1,0,728,3,0,3,16,4,0,1,0,23,0,1850,1827
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makonde,Chinhoyi,Chinhoyi Municipality,15,Shackleton Community Hall,7001CHIM1501,1,267,1,0,0,1,1,0,0,0,0,0,1,1,290,1,1,3,10,0,1,0,1,11,0,591,580
Makonde,Chinhoyi,Chinhoyi Municipality,15,Shackleton Primary School,7001CHIM1502,1,213,2,0,0,0,1,4,0,0,0,0,1,1,204,2,1,3,1,0,0,0,0,14,0,448,434
,,,,,Ward Total,2,480,3,0,0,1,2,4,0,0,0,0,2,2,494,3,2,6,11,0,1,0,1,25,0,1039,1014
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,CONSTITUENCY TOTAL,67,19740,43,9,5,18,32,100,5,4,9,5,6,4,9088,50,12,38,106,14,12,8,8,279,0,29662,29383
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makonde,Makonde,Makonde RDC,8,Athens Secondary School,7000MAK0801,2,27,1,0,0,0,1,2,0,0,0,0,0,0,180,0,0,0,0,0,0,0,1,6,0,220,214
Makonde,Makonde,Makonde RDC,8,Chipo Primary School,7000MAK0802,0,15,0,0,0,0,0,1,0,0,1,0,0,0,310,0,0,0,1,0,0,0,1,8,0,337,329
Makonde,Makonde,Makonde RDC,8,Fiona Primary School,7000MAK0803,3,30,0,0,0,2,0,1,0,0,0,0,0,0,606,3,0,0,0,2,0,0,1,10,0,658,648
Makonde,Makonde,Makonde RDC,8,Gambuli Primary School,7000MAK0804,3,56,2,0,1,2,0,2,0,0,0,0,0,0,513,2,1,0,1,1,0,0,1,15,0,600,585
Makonde,Makonde,Makonde RDC,8,Kanyaga Primary School,7000MAK0805,2,124,2,0,0,1,2,2,0,0,0,0,0,1,573,4,1,0,0,2,1,0,2,8,0,725,717
Makonde,Makonde,Makonde RDC,8,Kemukaka Primary School,7000MAK0806,5,49,0,0,0,2,0,4,0,1,2,1,1,1,544,0,0,1,2,1,2,1,0,14,0,631,617
Makonde,Makonde,Makonde RDC,8,Maysma Primary School,7000MAK0807,7,35,5,0,1,5,2,0,1,1,0,0,0,1,640,2,0,1,2,1,1,1,1,22,0,729,707
Makonde,Makonde,Makonde RDC,8,Musoromuchena Primary School,7000MAK0808,1,17,0,0,0,1,0,1,0,0,0,0,0,0,303,0,0,0,1,0,0,0,0,7,0,331,324
Makonde,Makonde,Makonde RDC,8,Nyamatanda Primary School,7000MAK0809,5,28,2,1,0,3,3,2,0,0,0,0,1,3,616,2,0,0,1,1,1,0,2,12,0,683,671
Makonde,Makonde,Makonde RDC,8,Nyamatsitu Farm Settlement Tent,7000MAK0810,2,34,1,0,0,2,5,3,0,0,1,0,2,2,378,1,1,0,2,0,1,0,0,24,0,459,435
Makonde,Makonde,Makonde RDC,8,Nyamupamire Business Centre Tent,7000MAK0811,7,100,4,0,0,4,0,2,1,0,0,1,1,1,498,1,0,0,1,1,1,0,0,10,0,633,623
Makonde,Makonde,Makonde RDC,8,Poker Ranch (Chitena) Tent,7000MAK0812,3,34,3,0,0,0,0,2,0,0,1,1,0,0,423,1,1,1,0,2,0,1,1,7,0,481,474
Makonde,Makonde,Makonde RDC,8,Sadoma Primary School,7000MAK0813,0,83,3,0,0,1,1,2,0,0,1,1,0,0,569,1,0,0,2,0,1,0,0,5,0,670,665
Makonde,Makonde,Makonde RDC,8,West Ranch Primary School,7000MAK0814,1,42,3,0,0,1,1,1,0,0,2,0,0,1,676,1,0,0,0,0,0,0,1,17,0,747,730
Makonde,Makonde,Makonde RDC,8,Zumba 8 Business Centre Tent,7000MAK0815,5,53,1,0,0,1,0,0,0,1,0,0,0,1,345,2,0,1,0,2,1,1,2,15,0,431,416
,,,,,Ward Total,46,727,27,1,2,25,15,25,2,3,8,4,5,11,7174,20,4,4,13,13,9,4,13,180,0,8335,8155
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makonde,Makonde,Makonde RDC,9,Biri Primary School,7000MAK0901,5,156,3,0,0,2,2,8,0,0,0,0,1,1,596,0,1,0,0,1,1,2,2,23,0,804,781
Makonde,Makonde,Makonde RDC,9,Hunnington Retreat,7000MAK0902,3,52,1,0,0,0,1,1,0,0,0,0,0,0,139,1,0,0,0,0,0,0,0,3,0,201,198
Makonde,Makonde,Makonde RDC,9,Magogi Secondary School,7000MAK0903,2,21,1,0,0,1,0,1,0,1,0,0,0,1,327,1,0,0,2,0,0,0,0,6,0,364,358
Makonde,Makonde,Makonde RDC,9,Manyamba Primary School,7000MAK0904,0,38,0,0,1,1,0,0,0,0,0,0,0,3,507,1,0,1,0,0,0,0,0,5,0,557,552
Makonde,Makonde,Makonde RDC,9,Muchiedza Primary School,7000MAK0905 A,6,60,1,0,1,1,2,2,0,0,0,0,0,1,367,1,0,0,1,1,0,0,0,4,0,448,444
Makonde,Makonde,Makonde RDC,9,Muchiedza Primary School,7000MAK0905 B,1,58,1,0,0,2,0,1,0,0,0,0,0,0,380,0,0,0,0,0,0,0,1,2,0,446,444
Makonde,Makonde,Makonde RDC,9,Natalia Farm Tent,7000MAK0906,1,32,2,0,0,0,0,1,0,0,0,0,0,1,94,1,0,0,0,0,1,1,0,4,0,138,134
Makonde,Makonde,Makonde RDC,9,Zurungowe Primary School,7000MAK0907,7,150,2,0,0,1,2,6,0,0,0,0,0,1,432,0,0,1,1,0,1,0,1,31,0,636,605
,,,,,Ward Total,25,567,11,0,2,8,7,20,0,1,0,0,1,8,2842,5,1,2,4,2,3,3,4,78,0,3594,3516
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makonde,Makonde,Makonde RDC,10,Chirasavana Business Centre Tent,7000MAK1001,0,28,2,0,0,1,0,0,0,0,0,0,0,0,56,0,0,1,0,0,0,1,1,0,0,90,90
Makonde,Makonde,Makonde RDC,10,Chitomborwizi Primary School,7000MAK1002,1,105,1,0,1,0,0,3,0,0,0,0,0,0,81,0,0,2,1,1,0,0,0,4,0,200,196
Makonde,Makonde,Makonde RDC,10,Madzima Business Centre Tent,7000MAK1003,1,39,1,0,0,0,1,0,0,0,0,0,0,1,96,0,0,0,0,0,0,0,0,4,0,143,139
Makonde,Makonde,Makonde RDC,10,Makonde Butchery Tent,7000MAK1004,0,41,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,1,0,0,0,0,0,0,0,109,109
Makonde,Makonde,Makonde RDC,10,Matoranjera Primary School,7000MAK1005,2,134,0,0,0,0,0,3,0,0,0,0,0,0,177,0,0,0,0,0,1,0,0,4,0,321,317
Makonde,Makonde,Makonde RDC,10,Nyamasanga Primary School,7000MAK1006,0,25,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,1,0,144,143
,,,,,Ward Total,4,372,4,0,1,1,1,6,0,0,0,0,0,1,595,0,0,4,1,1,1,1,1,13,0,1007,994
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makonde,Makonde,Makonde RDC,12,Mainga Primary School,7000MAK1201,0,69,0,0,1,0,0,1,0,0,0,1,0,0,123,0,0,0,0,0,0,0,0,2,0,197,195
Makonde,Makonde,Makonde RDC,12,Mburungwe Primary School,7000MAK1202,0,68,2,0,0,1,1,1,1,0,0,0,0,0,93,3,0,0,0,0,2,0,0,2,0,174,172
Makonde,Makonde,Makonde RDC,12,Muchichiri Primary School,7000MAK1203,0,75,0,0,0,0,0,1,0,0,0,0,0,0,30,1,0,0,0,1,0,0,0,3,0,111,108
Makonde,Makonde,Makonde RDC,12,Rwenhombo Primary School,7000MAK1204,0,65,1,0,0,0,0,1,0,0,0,0,0,0,77,1,0,0,0,0,0,0,0,1,0,146,145
,,,,,Ward Total,0,277,3,0,1,1,1,4,1,0,0,1,0,0,323,5,0,0,0,1,2,0,0,8,0,628,620
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makonde,Makonde,Makonde RDC,14,Chakaboora Primary School,7000MAK1401,1,74,4,0,0,1,0,2,0,2,0,1,0,0,137,1,0,0,0,0,0,0,0,2,0,225,223
Makonde,Makonde,Makonde RDC,14,Chipfuwamiti Secondary School,7000MAK1402,1,150,1,0,0,2,1,4,1,1,0,0,0,3,264,0,1,2,1,0,0,1,1,7,0,441,434
Makonde,Makonde,Makonde RDC,14,Mukowe Valley Primary School,7000MAK1403,0,35,1,0,1,2,1,0,0,0,0,1,0,2,259,0,0,0,0,2,1,1,0,7,0,313,306
Makonde,Makonde,Makonde RDC,14,Nyanga Business Centre Tent,7000MAK1404,3,104,2,1,0,1,0,1,1,1,0,1,0,0,70,1,1,3,1,1,0,0,1,5,0,198,193
Makonde,Makonde,Makonde RDC,14,Zimbara Primary School,7000MAK1405,11,226,6,1,0,5,1,12,2,0,1,1,0,5,285,5,2,2,1,2,1,1,5,10,0,585,575
,,,,,Ward Total,16,589,14,2,1,11,3,19,4,4,1,4,0,10,1015,7,4,7,3,5,2,3,7,31,0,1762,1731
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makonde,Makonde,Makonde RDC,15,Chigaro Primary School,7000MAK1501,1,228,1,0,0,1,2,5,0,0,0,0,0,5,273,1,2,0,0,0,2,0,4,4,0,529,525
Makonde,Makonde,Makonde RDC,15,Dzingiso Business Centre Tent,7000MAK1502,1,33,1,0,0,2,0,1,0,0,0,0,0,0,196,0,0,0,0,0,1,0,0,3,0,238,235
Makonde,Makonde,Makonde RDC,15,Hombwe Primary School,7000MAK1503 A,2,147,4,0,1,3,2,2,0,2,0,0,0,3,277,2,0,1,2,5,1,0,3,9,0,466,457
Makonde,Makonde,Makonde RDC,15,Hombwe Primary School,7000MAK1503 B,3,125,1,0,0,6,2,7,0,1,0,0,0,2,274,6,1,3,3,3,4,1,3,12,0,457,445
Makonde,Makonde,Makonde RDC,15,Magurekure Primary School,7000MAK1504,0,4,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,20,20
Makonde,Makonde,Makonde RDC,15,Shupa Primary School,7000MAK1505,0,27,0,0,0,1,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,64,64
,,,,,Ward Total,7,564,7,0,1,13,6,15,0,3,0,0,0,10,1072,9,3,4,5,8,8,1,10,28,0,1774,1746
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makonde,Makonde,Makonde RDC,16,Godzi Primary School,7000MAK1601,8,137,3,0,1,1,0,2,0,0,0,0,1,1,245,2,1,0,1,0,2,3,5,19,1,432,413
Makonde,Makonde,Makonde RDC,16,Kanjanda Primary School,7000MAK1602,1,21,1,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,1,0,0,7,0,148,141
Makonde,Makonde,Makonde RDC,16,Mapfungwe Primary School,7000MAK1603,2,84,1,0,0,2,1,2,1,0,1,0,0,0,231,1,1,0,1,0,0,1,1,4,0,334,330
Makonde,Makonde,Makonde RDC,16,Naison Dip Primary School,7000MAK1604,0,93,4,1,0,1,0,1,1,0,1,0,0,2,299,2,0,3,1,2,1,1,1,10,0,424,414
Makonde,Makonde,Makonde RDC,16,Runene Primary School,7000MAK1605,7,158,5,0,0,4,4,5,0,3,0,1,0,2,302,2,0,1,1,4,1,4,1,8,0,513,505
,,,,,Ward Total,18,493,14,1,1,8,5,10,2,3,2,1,1,5,1194,7,2,4,4,6,5,9,8,48,1,1851,1803
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makonde,Makonde,Makonde RDC,17,Choto Primary School,7000MAK1701,3,106,5,0,0,1,2,3,0,1,0,0,0,1,187,0,0,0,1,0,0,0,0,3,0,313,310
Makonde,Makonde,Makonde RDC,17,Kasonde Primary School,7000MAK1702,2,87,1,0,0,1,1,3,0,0,0,0,0,3,355,1,1,0,0,0,0,0,1,6,0,462,456
Makonde,Makonde,Makonde RDC,17,Kenzamba Primary School,7000MAK1703 A,5,94,4,0,1,2,9,4,3,0,1,0,1,4,352,4,0,2,0,2,1,1,2,9,0,501,492
Makonde,Makonde,Makonde RDC,17,Kenzamba Primary School,7000MAK1703 B,3,104,2,0,0,4,3,5,0,0,0,1,0,2,330,4,0,1,0,1,0,0,0,42,0,502,460
,,,,,Ward Total,13,391,12,0,1,8,15,15,3,1,1,1,1,10,1224,9,1,3,1,3,1,1,3,60,0,1778,1718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makonde,Makonde,Makonde RDC,18,Chemundi Primary School,7000MAK1801,2,87,3,1,0,2,1,2,0,0,0,0,0,0,267,3,1,2,1,0,2,1,0,14,0,389,375
Makonde,Makonde,Makonde RDC,18,Kamhonde Primary School,7000MAK1802,3,117,1,0,2,0,0,3,0,3,0,0,2,0,282,1,0,0,0,0,2,0,1,15,0,432,417
Makonde,Makonde,Makonde RDC,18,Kemupfuti Primary School,7000MAK1803,0,37,0,0,0,3,0,2,0,0,0,0,0,1,154,0,0,0,0,0,3,0,0,3,0,203,200
Makonde,Makonde,Makonde RDC,18,Obva Primary School,7000MAK1804,5,168,2,0,0,1,0,6,0,0,1,4,0,0,307,3,1,1,3,0,1,0,4,15,0,522,507
,,,,,Ward Total,10,409,6,1,2,6,1,13,0,3,1,4,2,1,1010,7,2,3,4,0,8,1,5,47,0,1546,1499
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makonde,Makonde,Makonde RDC,19,Chijaka Primary School,7000MAK1901,4,95,3,0,0,1,3,0,1,0,1,0,1,1,556,4,1,1,0,2,1,1,1,9,0,686,677
Makonde,Makonde,Makonde RDC,19,Frampton Farm Tent,7000MAK1902,0,27,0,0,0,1,0,0,0,0,2,1,0,1,117,2,0,0,0,0,0,0,0,3,0,154,151
Makonde,Makonde,Makonde RDC,19,Gamanya Primary School,7000MAK1903,3,65,1,0,2,0,1,2,0,2,1,0,0,0,296,1,0,0,0,1,1,1,2,4,0,383,379
Makonde,Makonde,Makonde RDC,19,Goredema Farm Settlement,7000MAK1904,1,5,1,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,42,42
Makonde,Makonde,Makonde RDC,19,Listonshields Primary School,7000MAK1905,1,36,2,0,0,1,1,0,1,0,0,0,0,0,364,1,0,0,0,0,0,0,0,2,0,409,407
Makonde,Makonde,Makonde RDC,19,Magondi Farm Settlement,7000MAK1906,3,39,1,0,0,1,1,1,1,0,0,0,0,4,307,5,0,1,0,1,1,0,1,5,0,372,367
Makonde,Makonde,Makonde RDC,19,Moendu Farm Settlement,7000MAK1907,2,35,2,0,0,0,0,2,1,0,0,0,0,1,314,0,1,0,0,0,0,1,0,4,0,363,359
Makonde,Makonde,Makonde RDC,19,Muvhami Primary School,7000MAK1908,6,117,4,0,0,3,0,3,0,1,2,0,0,0,430,2,1,1,1,3,0,1,1,18,0,594,576
,,,,,Ward Total,20,419,14,0,2,7,6,8,4,3,6,1,1,7,2419,15,3,3,1,7,3,4,5,45,0,3003,2958
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,CONSTITUENCY TOTAL,159,4808,112,5,14,88,60,135,16,21,19,16,11,63,18868,84,20,34,36,46,42,27,56,538,1,25278,24740
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makonde,Mhangura,Makonde RDC,1,Binge Primary School,7000MAK0101 A,3,26,1,0,0,0,0,0,0,0,0,0,1,1,448,0,0,0,0,0,0,1,0,8,0,489,481
Makonde,Mhangura,Makonde RDC,1,Binge Primary School,7000MAK0101 B,3,21,5,0,1,0,0,0,0,0,0,0,0,1,454,1,0,0,1,0,1,0,1,4,0,493,489
Makonde,Mhangura,Makonde RDC,1,Chipiri/Chitatu Primary School,7000MAK0102,2,18,0,0,0,1,0,0,2,0,0,0,0,1,340,0,0,0,0,0,0,0,0,5,0,369,364
Makonde,Mhangura,Makonde RDC,1,Doma Safari Primary School,7000MAK0103,3,12,2,0,0,1,0,1,0,1,0,0,0,1,410,1,0,1,0,0,0,0,1,8,0,442,434
Makonde,Mhangura,Makonde RDC,1,Jechenene Primary School,7000MAK0104,2,22,3,0,0,0,1,0,0,0,0,0,0,1,407,0,1,0,1,0,0,0,0,3,0,441,438
Makonde,Mhangura,Makonde RDC,1,Kosana Primary School,7000MAK0105,5,25,0,1,1,1,0,1,0,0,0,0,1,1,574,3,0,0,0,0,0,0,0,7,0,620,613
Makonde,Mhangura,Makonde RDC,1,Vrede Primary School,7000MAK0106,2,16,0,0,0,1,2,1,0,0,0,0,0,0,714,2,0,0,1,0,0,0,0,5,0,744,739
,,,,,Ward Total,20,140,11,1,2,4,3,3,2,1,0,0,2,6,3347,7,1,1,3,0,1,1,2,40,0,3598,3558
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makonde,Mhangura,Makonde RDC,2,Chimanimani Secondary School,7000MAK0201,0,15,0,0,0,1,0,0,0,0,0,0,0,0,328,0,0,0,1,1,0,0,0,3,0,349,346
Makonde,Mhangura,Makonde RDC,2,Mukuyu Primary School,7000MAK0202,2,11,0,0,0,0,1,0,0,0,0,0,0,0,145,0,2,0,0,2,0,0,0,6,0,169,163
Makonde,Mhangura,Makonde RDC,2,Doma Primary School,7000MAK0203,4,123,0,0,0,1,1,1,2,2,0,0,0,0,426,0,0,1,2,1,1,0,3,18,0,586,568
Makonde,Mhangura,Makonde RDC,2,Endearvour Primary School,7000MAK0204,3,88,0,2,1,2,0,1,0,3,1,0,0,0,558,0,0,2,1,2,3,0,1,11,0,679,668
Makonde,Mhangura,Makonde RDC,2,Gravelotte Primary School,7000MAK0205,1,16,1,0,0,1,0,1,0,0,0,0,0,0,382,4,0,1,1,0,0,0,0,8,0,416,408
Makonde,Mhangura,Makonde RDC,2,Ozana Primary School,7000MAK0206,2,14,0,1,0,1,0,0,1,0,0,0,0,0,407,1,1,0,1,1,0,0,0,10,0,440,430
Makonde,Mhangura,Makonde RDC,2,Kismet Primary School,7000MAK0207,2,56,0,0,0,2,2,1,0,0,0,1,0,0,509,2,1,0,1,0,0,0,1,6,0,584,578
Makonde,Mhangura,Makonde RDC,2,Mukamba Secondary School,7000MAK0208,3,49,1,0,0,4,0,0,1,0,0,0,0,2,642,2,0,0,1,0,1,0,1,23,0,730,707
Makonde,Mhangura,Makonde RDC,2,Northend Primary School,7000MAK0209,1,13,3,0,0,0,1,1,0,0,0,0,0,1,333,1,0,0,0,0,0,0,0,6,0,360,354
Makonde,Mhangura,Makonde RDC,2,Sikona Primary School,7000MAK0210,2,47,0,1,0,1,0,1,0,0,0,0,0,0,186,1,0,1,0,0,0,0,0,1,0,241,240
,,,,,Ward Total,20,432,5,4,1,13,5,6,4,5,1,1,0,3,3916,11,4,5,8,7,5,0,6,92,0,4554,4462
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makonde,Mhangura,Makonde RDC,3,Gudubu Primary School,7000MAK0301,2,87,2,1,1,2,1,3,1,0,0,1,0,2,669,1,1,0,1,1,0,0,1,12,0,789,777
Makonde,Mhangura,Makonde RDC,3,River Ranch Primary School,7000MAK0302,1,41,0,0,0,0,0,0,1,1,0,0,1,0,297,1,0,0,0,0,0,0,0,2,0,345,343
Makonde,Mhangura,Makonde RDC,3,Tateguru Primary School,7000MAK0303,2,34,1,0,0,0,1,0,0,0,0,0,0,2,304,1,1,0,0,0,0,1,0,3,0,350,347
Makonde,Mhangura,Makonde RDC,3,Two Tree Dam Primary School,7000MAK0304,2,15,2,0,1,0,0,1,0,0,0,0,0,0,463,0,0,0,0,1,0,0,1,8,0,494,486
Makonde,Mhangura,Makonde RDC,3,Two Tree Hill Primary School,7000MAK0305,2,78,3,0,0,2,0,1,0,0,0,0,0,0,484,0,0,0,1,1,0,0,0,8,0,580,572
,,,,,Ward Total,9,255,8,1,2,4,2,5,2,1,0,1,1,4,2217,3,2,0,2,3,0,1,2,33,0,2558,2525
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makonde,Mhangura,Makonde RDC,4,Cotswold Primary School,7000MAK0401,3,76,4,0,0,2,1,2,0,0,0,0,0,1,456,3,0,0,0,1,1,0,0,11,0,561,550
Makonde,Mhangura,Makonde RDC,4,Deerhurst Primary School,7000MAK0402,5,48,0,0,0,2,0,1,1,0,0,0,1,1,414,0,1,0,0,0,0,0,1,14,0,489,475
Makonde,Mhangura,Makonde RDC,4,Devonia Primary School,7000MAK0403,0,21,1,0,0,0,0,0,0,0,0,0,1,0,355,0,0,0,1,0,0,0,0,4,0,383,379
Makonde,Mhangura,Makonde RDC,4,Ditchwe Primary School,7000MAK0404,3,101,3,0,0,2,0,6,0,2,0,0,0,1,456,0,1,1,4,0,0,1,0,27,0,608,581
Makonde,Mhangura,Makonde RDC,4,Gombera Primary School,7000MAK0405,2,26,1,0,0,3,1,0,0,0,0,0,0,0,331,1,0,0,0,1,0,0,1,4,0,371,367
Makonde,Mhangura,Makonde RDC,4,Highbury Primary School,7000MAK0406,1,73,1,0,1,2,0,2,0,0,0,0,0,0,219,0,0,2,0,0,0,0,1,5,0,307,302
Makonde,Mhangura,Makonde RDC,4,Inyati Secondary School,7000MAK0407,3,96,3,0,0,4,0,1,0,0,0,0,0,2,533,2,1,2,3,1,1,0,1,3,0,656,653
Makonde,Mhangura,Makonde RDC,4,Urume Secondary School,7000MAK0408,1,26,3,1,0,1,0,1,1,0,0,0,1,1,315,0,0,0,0,1,0,0,0,3,0,355,352
Makonde,Mhangura,Makonde RDC,4,Richmond Primary School,7000MAK0409 A,0,63,1,0,0,1,0,3,0,1,0,0,0,1,395,1,0,0,2,1,1,0,0,8,0,478,470
