MASHONALAND WEST PROVINCE: 2018 HARMONISED ELECTIONS PRESIDENTIAL ELECTION RESULTS:30 JULY 2018 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISTRICT,CONSTITUENCY ,LOCAL AUTHORITY,WARD NO.,POLLING STATIONS,POLLING CODE,"Busha Joseph Makamba
FreeZim Congress","Chamisa Nelson
Movement for Democratic Change Alliance","Chikanga Everisto Washington
Rebuild Zimbabwe","Dzapasi Melbah
#1980 Freedom Movement Zimbabwe","Gava Mapfumo Peter
United Democratic Front","Hlabangana Kwanele
Republican Party of Zimbabwe","Kasiyamhuru Blessing
Zimbabwe Partnership for Prosperity","Khupe Thokozani
Movement for Democratic Change","Madhuku Lovemore
National Constitutional Assembly","Mangoma Elton Steers
Coalition of Democrats","Manyika Noah Ngoni
Build Zimbabwe Alliance","Mapfumo-Chiguvare Tonderai Johannes Timothy
People's Progressive Party Zimbabwe","Mariyacha Violet
United Democracy Movement","Mhambi-Hove Divine
National Alliance of Patriotic and Democratic Republicans","Mnangagwa Emmerson Dambudzo
Zimbabwe African National Union Patriotic Front","Moyo Nkosana Donald
Alliance for the People's Agenda","Mteki Bryn Taurai
Independent","Mugadza Willard Tawonezvi
Bethel Christian Party","Mujuru Joice Teurai Ropa
People's Rainbow Coalition","Munyanduri Tendai Peter
New Patriotic Front","Mutinhiri Ambrose
National Patriotic Front","Shumba Kuzozvirava Daniel
United Democratic Alliance","Wilson Harry Peter
Democratic Opposition Party",Total Votes Rejected ,Ballot Paper Unaccounted for,Total Votes Cast,Total Valid Votes Cast
,,,,,Ward Total,0,218,1,0,0,0,1,4,1,1,0,0,0,0,245,3,0,0,4,0,1,1,0,3,0,483,480
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chegutu,Chegutu East,Chegutu RDC,20,Chevarozvi Primary School,3200CHE2001,1,104,1,1,1,1,0,0,0,0,0,0,0,1,401,1,0,2,0,0,1,0,1,16,0,532,516
Chegutu,Chegutu East,Chegutu RDC,20,Chishayabvudzi Primary School,3200CHE2002,4,87,5,0,1,2,1,0,1,0,0,0,1,2,461,1,0,0,1,0,0,0,0,9,0,576,567
Chegutu,Chegutu East,Chegutu RDC,20,Johannadale Farm House,3200CHE2003,0,57,1,0,0,2,0,0,0,0,0,1,1,1,227,1,0,0,1,0,1,0,0,2,0,295,293
Chegutu,Chegutu East,Chegutu RDC,20,Mbafa Primary School,3200CHE2004 A,1,111,1,0,0,1,1,2,0,0,1,0,0,0,371,1,1,1,4,1,1,0,1,5,0,504,499
Chegutu,Chegutu East,Chegutu RDC,20,Mbafa Primary School,3200CHE2004 B,2,111,2,1,0,0,0,5,0,1,1,0,0,1,380,1,0,1,0,0,0,0,0,6,0,512,506
,,,,,Ward Total,8,470,10,2,2,6,2,7,1,1,2,1,2,5,1840,5,1,4,6,1,3,0,2,38,0,2419,2381
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chegutu,Chegutu East,Chegutu RDC,21,Bingaguru Primary School,3200CHE2101,0,45,0,0,0,1,0,1,0,0,0,0,0,1,26,3,0,1,0,1,0,0,0,3,0,82,79
Chegutu,Chegutu East,Chegutu RDC,21,Exwick Primary School,3200CHE2102,1,83,2,1,2,1,1,1,0,0,0,0,2,1,133,3,1,0,0,2,0,0,0,5,0,239,234
Chegutu,Chegutu East,Chegutu RDC,21,Mupfure College,3200CHE2103,2,153,3,1,0,1,0,2,0,0,2,0,0,1,203,3,0,1,0,0,0,0,0,10,0,382,372
Chegutu,Chegutu East,Chegutu RDC,21,Orange Groove Settlement Farm House,3200CHE2104,0,11,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,2,0,72,70
Chegutu,Chegutu East,Chegutu RDC,21,Scotsdale Primary School,3200CHE2105,0,51,0,0,0,0,0,2,0,0,0,0,0,0,65,0,0,2,0,0,0,0,0,1,0,121,120
Chegutu,Chegutu East,Chegutu RDC,21,Wicklow Primary School,3200CHE2106,2,238,4,0,1,2,3,7,0,0,4,2,0,1,511,1,0,0,1,1,1,2,2,32,0,815,783
,,,,,Ward Total,5,581,9,2,3,5,4,13,0,0,6,2,2,4,997,10,1,4,1,4,1,2,2,53,0,1711,1658
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chegutu,Chegutu East,Chegutu RDC,22,Balcutha Settlement Farm,3200CHE2201,0,16,1,0,0,1,0,2,0,0,1,0,0,2,147,0,0,0,1,1,1,1,0,3,0,177,174
Chegutu,Chegutu East,Chegutu RDC,22,Chikanga Primary School,3200CHE2202,6,64,3,1,1,0,1,1,0,0,0,1,0,0,404,2,0,0,0,0,0,1,1,7,0,493,486
Chegutu,Chegutu East,Chegutu RDC,22,Danangwe Primary School,3200CHE2203,0,32,1,0,2,0,0,0,1,0,0,0,0,0,410,0,0,2,0,1,0,1,0,6,0,456,450
Chegutu,Chegutu East,Chegutu RDC,22,Gadzema Primary School,3200CHE2204 A,1,119,1,3,0,1,0,3,0,0,0,0,1,0,325,0,1,1,0,1,2,0,3,13,0,475,462
Chegutu,Chegutu East,Chegutu RDC,22,Gadzema Primary School,3200CHE2204 B,3,130,1,0,0,0,0,4,1,0,2,0,0,0,325,0,0,0,0,0,0,1,0,7,0,474,467
Chegutu,Chegutu East,Chegutu RDC,22,Garamwe Primary School,3200CHE2205,2,14,1,0,0,0,1,0,0,0,0,1,0,0,210,1,0,0,0,0,0,0,0,3,0,233,230
Chegutu,Chegutu East,Chegutu RDC,22,Ijapo Primary School,3200CHE2206,0,26,0,0,1,1,0,1,0,0,1,0,0,0,349,0,0,0,0,1,1,1,1,10,0,393,383
Chegutu,Chegutu East,Chegutu RDC,22,Wanimo Farm Tent,3200CHE2207,0,29,0,0,1,0,0,0,1,0,0,0,0,1,246,0,0,0,1,0,1,1,0,5,0,286,281
Chegutu,Chegutu East,Chegutu RDC,22,Morning Star Farm Tent,3200CHE2208,3,63,2,0,0,1,0,1,0,0,1,0,0,0,371,0,0,0,0,0,1,0,0,2,0,445,443
,,,,,Ward Total,15,493,10,4,5,4,2,12,3,0,5,2,1,3,2787,3,1,3,2,4,6,6,5,56,0,3432,3376
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chegutu,Chegutu East,Chegutu RDC,23,Ameva Primary School,3200CHE2301,2,225,0,1,0,1,0,6,0,0,0,1,1,1,206,1,1,1,1,1,1,3,2,8,0,463,455
Chegutu,Chegutu East,Chegutu RDC,23,Balwarrie Farm House,3200CHE2302,1,31,0,0,0,0,0,3,0,0,0,0,0,0,132,0,0,0,1,2,0,0,0,5,0,175,170
Chegutu,Chegutu East,Chegutu RDC,23,Lismore Farm Tent,3200CHE2303,2,85,0,1,0,1,1,1,0,2,0,0,0,0,368,1,0,0,1,1,0,1,1,3,0,469,466
Chegutu,Chegutu East,Chegutu RDC,23,Murambe Primary School,3200CHE2304,0,63,2,0,1,0,0,1,0,0,0,0,0,1,307,1,0,0,0,1,1,1,0,0,0,379,379
Chegutu,Chegutu East,Chegutu RDC,23,Murambe Secondary School,3200CHE2305,1,32,0,0,0,0,0,0,0,0,0,0,0,1,211,0,0,0,0,1,0,0,1,3,0,250,247
Chegutu,Chegutu East,Chegutu RDC,23,Sable Park Tent,3200CHE2306,2,109,2,0,0,1,2,2,0,0,0,1,0,0,161,0,0,0,2,1,0,2,1,7,0,293,286
Chegutu,Chegutu East,Chegutu RDC,23,Thistle Primary School,3200CHE2307,1,37,0,0,0,0,0,1,0,0,0,1,0,0,52,0,0,0,0,0,0,0,0,0,0,92,92
,,,,,Ward Total,9,582,4,2,1,3,3,14,0,2,0,3,1,3,1437,3,1,1,5,7,2,7,5,26,0,2121,2095
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chegutu,Chegutu East,Chegutu RDC,26,Avondale Farm Tent,3200CHE2601,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7,7
Chegutu,Chegutu East,Chegutu RDC,26,Katawa Primary School,3200CHE2602,1,55,1,1,0,1,0,0,0,1,0,1,0,0,425,0,0,0,0,0,0,0,0,0,0,486,486
Chegutu,Chegutu East,Chegutu RDC,26,La Rhone Farm Tent,3200CHE2603,1,47,0,0,0,1,0,1,0,0,0,0,0,0,174,0,1,0,0,0,1,0,0,2,0,228,226
Chegutu,Chegutu East,Chegutu RDC,26,Mopani Primary School,3200CHE2604,1,58,0,0,0,1,1,1,0,0,0,1,0,2,222,1,0,0,1,0,0,0,0,2,0,291,289
Chegutu,Chegutu East,Chegutu RDC,26,Rutara Primary School,3200CHE2605,1,79,1,0,0,1,0,0,1,0,0,0,0,0,219,0,0,0,2,2,0,0,0,2,0,308,306
Chegutu,Chegutu East,Chegutu RDC,26,Sivundazi Farm Tent,3200CHE2606,0,6,0,0,0,0,0,1,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,1,0,48,47
,,,,,Ward Total,5,247,2,1,0,4,1,3,1,1,0,2,0,2,1084,1,1,0,3,2,1,0,0,7,0,1368,1361
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chegutu,Chegutu East,Chegutu RDC,29,Burnbank Junior School,3200CHE2901,0,29,0,0,0,0,0,2,0,0,0,0,0,0,98,1,0,0,0,0,0,1,0,2,0,133,131
Chegutu,Chegutu East,Chegutu RDC,29,Buttercombe Farm Tent,3200CHE2902,0,28,0,0,1,0,0,1,0,1,0,1,0,0,249,0,0,0,1,0,0,0,0,3,0,285,282
Chegutu,Chegutu East,Chegutu RDC,29,Mafuti Primary School,3200CHE2903,0,85,0,0,0,1,0,1,0,0,0,0,0,0,473,2,1,0,1,1,0,1,0,6,0,572,566
Chegutu,Chegutu East,Chegutu RDC,29,Naemoor Primary School,3200CHE2904,0,66,1,1,0,0,0,1,0,0,0,0,0,0,151,0,1,0,2,0,0,0,0,3,0,226,223
,,,,,Ward Total,0,208,1,1,1,1,0,5,0,1,0,1,0,0,971,3,2,0,4,1,0,2,0,14,0,1216,1202
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,CONSTITUENCY TOTAL,97,7268,79,16,23,55,25,137,13,24,17,17,11,35,16068,58,12,38,51,26,29,31,26,357,0,24513,24156
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chegutu,Chegutu West,Chegutu Municipality,1,Chegutu Civic Centre Tent,3201CHM0101,0,199,1,0,0,0,0,1,0,0,0,0,0,1,118,0,0,0,1,0,0,0,0,1,0,322,321
Chegutu,Chegutu West,Chegutu Municipality,1,David Whitehead Primary School,3201CHM0102,1,111,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,4,0,167,163
,,,,,Ward Total,1,310,1,0,0,0,0,1,0,0,0,0,0,1,169,0,0,0,1,0,0,0,0,5,0,489,484
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
